u0,v0,u1,v1,u2,v2,u3,v3
81.0,90.0,64.0,90.0,80.5,73.5,64.0,73.0
82.0,90.0,64.0,90.0,81.0,73.0,64.5,73.0
82.0,90.0,64.0,90.0,81.0,73.0,64.5,73.0
82.0,90.0,64.0,90.0,81.5,73.0,65.0,73.0
82.5,90.0,64.5,90.0,82.0,73.0,65.0,73.0
83.0,90.0,65.0,90.0,82.0,73.5,65.0,73.0
83.0,90.0,65.0,90.0,82.0,73.0,65.0,73.0
82.5,90.0,65.0,90.0,82.0,73.0,65.0,73.0
83.0,90.0,65.0,90.0,82.0,73.0,65.0,72.5
83.0,90.0,65.0,89.5,82.0,73.0,65.0,73.0
83.0,90.0,66.0,89.0,82.5,72.5,65.0,72.5
83.0,90.0,65.5,89.5,82.5,72.5,65.5,72.5
83.0,90.0,66.0,89.5,83.0,73.0,66.0,72.0
83.5,89.5,66.0,90.0,83.0,73.0,66.0,72.0
84.0,90.0,66.0,90.0,83.0,73.0,66.0,72.0
84.0,90.0,66.0,90.0,83.0,73.0,66.0,72.5
84.0,90.0,66.5,89.5,83.0,73.0,66.0,72.5
84.0,90.0,67.0,90.0,83.0,73.0,66.0,72.5
84.0,90.0,67.0,89.5,84.0,73.0,66.0,72.5
84.5,90.0,67.0,89.5,84.0,73.0,66.5,72.5
85.0,89.5,67.5,89.5,84.0,73.0,66.5,72.5
85.0,90.0,67.5,89.5,84.0,73.0,67.0,72.0
85.0,90.0,67.5,89.5,84.5,73.0,67.5,72.0
85.5,89.5,67.5,89.5,84.5,73.0,67.5,72.0
85.5,89.5,67.5,89.5,84.5,73.0,68.0,72.0
85.5,89.5,68.0,89.0,85.0,72.0,68.0,72.0
85.5,89.5,68.0,90.0,85.0,72.0,68.5,72.0
85.5,89.5,69.0,89.5,85.5,73.0,68.5,72.0
86.0,89.0,69.0,89.5,86.0,73.0,68.5,72.0
86.0,89.0,69.0,89.5,86.0,72.5,69.0,72.0
86.5,89.5,69.0,89.5,86.5,73.0,69.0,72.0
87.0,89.5,69.0,89.5,86.0,73.0,69.0,72.0
87.0,89.5,69.5,89.5,86.5,73.0,69.5,72.0
87.5,89.5,70.0,89.5,87.0,73.0,70.0,72.0
88.0,89.5,70.0,89.0,87.0,72.0,70.0,72.0
88.0,90.0,70.0,89.0,87.0,72.0,70.0,72.0
88.0,89.5,70.0,89.0,87.0,72.0,70.5,72.0
88.0,89.0,70.0,89.0,88.0,72.0,70.5,72.0
88.5,89.5,70.0,89.0,88.0,72.0,70.5,72.0
88.5,89.5,70.5,89.0,88.0,72.5,70.0,72.0
89.0,89.5,70.5,89.0,88.0,72.0,70.5,72.0
89.0,89.5,70.5,89.0,88.5,72.0,70.5,72.0
89.0,89.5,70.5,89.0,88.5,72.0,71.0,72.0
89.0,89.0,71.0,89.0,88.5,72.0,71.0,72.0
89.0,89.0,71.0,89.0,88.5,72.0,71.0,72.0
89.5,89.5,71.5,89.0,88.5,72.0,71.5,71.5
89.5,89.5,71.5,89.0,89.0,72.0,71.5,71.5
89.5,89.5,71.5,89.0,89.0,72.0,71.5,71.5
89.5,89.5,72.0,88.0,89.0,72.0,71.5,71.5
90.0,89.0,72.0,88.0,89.0,72.0,72.0,72.0
90.0,89.0,72.0,88.5,90.0,72.0,72.0,71.5
90.0,89.0,72.0,89.0,90.0,72.0,72.0,71.5
90.0,89.0,72.5,88.5,90.0,72.0,72.5,71.5
91.0,89.0,72.5,88.5,90.0,72.0,72.5,71.5
91.0,89.0,73.0,88.5,90.5,72.0,73.0,72.0
91.0,89.0,73.0,88.5,90.5,72.0,73.0,71.0
91.0,89.0,73.0,88.5,90.5,72.0,73.0,71.0
91.0,89.0,74.0,88.0,90.5,72.0,73.5,71.5
91.0,89.0,74.0,88.0,91.0,72.0,73.5,71.5
91.0,89.0,74.0,88.0,91.0,72.0,73.5,71.5
92.0,89.0,74.0,88.5,91.0,72.0,74.0,71.0
92.0,89.0,74.0,88.5,91.0,71.5,74.0,71.0
92.0,89.0,74.5,88.5,91.0,72.0,74.0,71.0
92.0,89.0,74.5,88.5,91.5,72.0,74.0,71.5
92.0,89.0,74.5,88.5,91.5,72.0,74.0,71.5
92.0,89.0,74.5,88.5,91.5,72.0,74.0,71.0
92.5,89.0,74.5,88.5,92.0,72.0,74.0,71.0
92.5,89.0,75.0,88.0,92.0,72.0,74.5,71.5
93.0,89.0,75.0,88.0,92.0,72.0,74.5,71.5
93.0,89.0,75.0,88.0,92.0,72.0,75.5,71.5
93.0,89.0,75.0,88.0,92.0,72.0,75.5,71.5
93.0,89.0,75.0,88.0,92.0,72.0,75.5,71.5
93.0,89.0,75.5,88.0,92.5,72.0,75.5,71.5
93.0,89.0,75.5,88.0,92.5,72.0,75.5,71.5
