u0,v0,u1,v1,u2,v2,u3,v3
68.0,97.0,50.5,97.0,67.0,80.0,51.0,79.5
67.5,96.5,50.5,97.0,67.5,79.5,51.0,79.5
68.0,96.0,51.0,97.0,68.0,79.0,51.0,79.5
68.5,96.0,51.0,96.0,68.0,79.0,51.0,79.0
68.5,95.5,51.0,96.0,69.0,79.0,52.5,78.5
69.5,95.5,52.5,95.5,69.0,78.0,52.5,78.5
70.5,95.5,53.0,95.0,70.0,78.0,53.0,78.0
71.0,95.0,53.5,95.5,70.5,77.5,54.0,77.5
72.0,95.0,54.0,95.0,71.5,77.5,54.5,77.5
72.5,94.5,55.0,94.5,72.5,77.5,55.5,77.5
73.5,94.5,56.5,94.5,73.5,77.5,56.5,77.5
74.5,94.5,57.5,94.5,74.5,77.5,58.0,77.0
75.5,94.5,58.5,94.5,75.5,77.5,58.5,77.0
77.0,94.0,60.0,94.0,77.0,77.0,59.5,77.0
78.5,94.5,61.0,94.0,77.5,77.0,61.0,77.0
79.0,94.5,62.0,94.0,78.5,77.0,62.0,77.0
80.5,94.0,63.0,94.0,80.0,77.0,63.0,76.5
82.0,94.0,63.0,94.0,81.0,76.5,,
83.0,93.5,,,,,,
84.0,93.5,66.5,93.5,83.0,77.0,66.0,76.5
85.0,94.0,67.0,93.5,84.5,77.5,66.5,76.5
86.5,94.5,69.0,94.0,86.0,77.5,69.0,77.0
88.0,95.0,70.0,94.0,86.5,77.5,70.0,77.0
88.5,95.0,70.0,94.0,88.0,77.5,70.0,77.0
90.0,95.0,71.0,94.0,88.5,77.5,71.0,77.0
90.0,95.0,73.0,94.0,89.5,77.5,72.0,78.0
91.0,95.0,73.0,94.0,90.5,78.0,73.0,78.0
92.0,95.5,74.5,94.5,91.0,78.0,74.0,77.5
92.5,95.5,75.0,95.0,92.0,78.5,74.5,78.0
93.0,95.0,75.0,95.0,92.5,78.5,75.0,78.0
94.0,96.0,76.0,95.0,93.0,79.0,75.0,79.0
94.0,96.0,76.0,95.5,93.0,79.0,76.0,78.5
94.0,96.0,76.5,95.5,93.0,79.5,76.0,79.0
94.0,97.0,77.0,96.0,94.0,80.0,76.0,79.0
94.0,97.0,77.0,96.0,94.0,80.0,76.0,79.0
94.0,97.0,77.0,96.0,93.5,80.0,76.0,79.0
94.0,97.5,76.0,97.0,93.0,80.0,76.0,80.0
93.5,98.0,76.0,97.0,92.0,81.0,75.5,80.0
93.0,98.0,76.0,97.0,92.0,81.0,75.0,80.0
92.0,98.0,75.0,97.0,91.0,81.0,75.0,80.0
91.0,98.0,74.0,97.0,90.5,81.5,74.0,80.5
90.0,98.0,73.0,98.0,89.5,81.5,73.0,81.0
89.0,99.0,72.0,98.0,88.0,81.5,72.0,81.0
88.5,98.5,71.0,98.0,88.0,82.0,70.5,81.5
86.5,99.0,69.5,98.0,86.0,82.0,70.0,81.0
85.0,99.0,68.0,98.0,84.5,82.0,68.0,81.5
84.0,99.0,67.0,98.5,83.0,82.0,66.5,81.0
82.5,98.5,65.0,98.0,81.5,82.0,66.0,81.0
81.0,99.0,64.0,98.5,80.0,82.0,64.0,81.5
79.5,98.5,63.0,98.0,79.0,82.0,63.0,81.0
78.0,99.0,61.0,98.0,77.5,81.5,61.0,81.0
77.0,98.0,60.0,98.0,76.0,81.0,60.0,81.0
75.5,98.0,59.0,98.0,75.0,81.5,59.0,81.0
74.0,98.0,57.5,98.0,74.0,81.0,58.0,81.0
73.0,98.0,56.5,98.0,73.0,81.0,57.0,81.0
72.0,97.0,55.0,97.5,72.0,81.0,56.0,80.5
71.0,97.0,54.5,97.5,71.0,80.0,55.0,80.0
71.0,97.0,54.0,97.0,70.5,80.0,54.0,80.0
70.0,97.0,53.0,97.0,70.0,80.0,53.5,80.0
70.0,96.0,52.5,96.5,69.0,80.0,53.0,79.5
69.0,96.0,52.5,96.0,69.0,79.5,52.5,79.5
69.0,96.0,52.0,96.0,69.0,79.0,52.5,79.0
69.0,95.5,52.0,95.5,68.5,79.0,52.5,79.0
69.0,95.5,52.0,95.5,69.0,78.0,52.0,78.0
69.0,95.0,52.0,95.0,68.5,78.0,52.5,78.0
69.0,95.0,52.0,95.0,69.0,78.0,52.5,78.0
69.5,94.5,52.5,95.0,69.5,77.5,52.5,77.5
70.0,94.0,52.5,94.5,70.0,77.5,53.0,77.0
70.5,94.0,53.0,94.0,70.5,77.5,54.0,77.0
71.0,94.0,54.0,94.0,71.0,77.0,54.0,77.0
72.5,93.5,54.5,93.5,71.5,76.5,55.0,77.0
73.0,94.0,55.5,93.5,72.5,76.5,56.0,76.0
74.0,93.0,56.5,93.5,73.5,76.5,57.0,76.0
74.5,93.5,57.5,93.5,74.0,76.0,57.5,76.5
75.5,93.5,58.0,93.0,75.0,76.0,58.5,76.0
76.5,93.5,59.0,93.0,76.0,76.0,59.5,75.5
78.0,93.0,60.5,93.0,77.0,76.0,60.5,75.5
78.5,93.0,61.0,93.0,78.0,76.0,61.5,75.5
80.0,93.5,62.5,93.0,79.0,76.0,62.5,75.5
81.0,93.0,64.0,93.0,80.0,76.0,63.5,75.5
82.0,93.0,65.0,93.0,82.0,76.0,64.5,75.5
83.0,93.0,66.0,93.0,82.5,76.0,65.5,75.5
84.0,93.0,66.0,93.0,83.0,76.0,66.5,75.5
84.5,93.0,67.0,93.0,84.0,76.0,67.0,75.5
85.5,93.5,68.5,93.0,85.0,76.0,68.5,75.5
87.0,93.5,70.0,93.0,86.5,76.0,69.0,75.5
88.0,93.5,70.0,93.0,87.0,77.0,70.0,76.0
89.0,94.0,71.0,93.0,88.0,76.5,70.0,76.0
90.0,94.0,71.5,93.5,88.5,77.0,71.0,76.0
90.0,94.0,72.0,93.5,89.5,77.0,72.5,76.0
91.0,94.0,73.5,93.5,90.0,77.0,73.0,76.0
91.0,94.0,73.5,93.5,90.0,77.0,74.0,77.0
92.0,94.5,74.0,94.0,91.0,77.5,74.0,77.0
