u0,v0,u1,v1,u2,v2,u3,v3
96.0,97.5,78.0,96.5,94.5,79.5,77.5,79.0
96.0,98.0,78.0,97.0,94.5,79.5,77.0,79.0
96.0,97.0,78.0,96.0,94.0,80.0,77.0,79.0
95.5,97.0,78.0,96.0,94.0,79.5,77.0,79.0
95.0,96.0,77.0,96.0,93.0,79.0,76.5,78.5
94.0,96.0,76.5,96.0,93.0,79.5,76.0,79.0
94.0,96.0,75.5,95.5,92.0,79.0,75.0,79.0
92.5,95.5,75.0,95.0,92.0,79.0,74.5,78.5
91.5,95.5,74.0,95.0,90.5,79.0,74.0,78.5
91.0,95.5,73.0,95.0,90.0,79.0,73.0,78.0
90.0,95.5,72.5,95.5,89.0,79.0,73.0,78.0
89.0,96.0,71.0,95.0,88.5,79.0,71.0,78.0
88.5,95.5,70.0,95.0,87.0,79.0,70.5,79.0
87.5,95.5,70.0,95.0,86.5,79.0,69.0,79.0
86.0,96.0,69.0,95.5,85.0,79.0,68.5,78.5
85.0,96.0,67.5,95.5,84.0,79.0,67.0,79.0
84.0,96.0,66.5,95.5,83.0,79.5,66.5,79.0
83.0,96.0,66.0,96.0,82.5,79.5,66.0,79.0
82.5,96.5,64.5,96.0,81.5,79.5,65.0,79.0
80.5,97.5,64.0,96.0,80.5,79.5,64.0,79.5
79.5,97.5,62.5,97.5,,,62.5,79.5
78.5,98.0,61.0,97.0,78.5,81.0,61.5,80.0
77.0,98.0,60.0,98.0,77.0,81.0,60.5,80.5
76.0,99.0,59.0,98.0,76.0,81.5,59.0,81.0
75.0,99.0,58.0,99.0,74.5,81.5,58.5,81.5
74.0,99.5,57.0,99.5,74.0,82.0,57.0,82.0
73.0,100.0,56.0,100.0,72.5,82.5,56.0,82.0
72.5,100.0,55.0,100.5,72.0,83.0,55.5,83.0
71.5,101.0,54.5,101.0,71.0,83.5,54.5,83.5
71.0,102.0,53.0,101.5,70.5,84.0,54.0,84.0
70.0,102.0,52.5,102.0,69.5,84.5,53.0,85.0
69.0,103.0,52.0,103.0,69.0,85.0,52.0,85.0
68.5,103.5,51.0,103.5,68.5,85.5,52.0,85.5
68.0,104.0,51.0,104.0,68.0,86.0,51.0,86.0
67.0,104.0,50.5,104.5,68.0,86.5,51.0,87.0
67.0,105.0,49.5,105.5,66.5,87.5,50.5,87.5
66.5,106.5,49.0,106.0,67.0,88.0,50.0,88.0
66.0,107.0,48.5,106.5,66.0,88.5,50.0,89.0
66.0,107.0,48.0,107.0,66.0,89.0,49.5,89.0
