u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
96.0,44.0,50.5,44.5,50.0,66.0,72.5,66.0,95.5,66.0,51.0,88.0,95.0,89.0,72.5,44.0
96.0,44.0,50.0,44.0,50.0,66.0,72.5,66.0,95.0,66.0,51.0,88.0,95.0,89.0,72.0,44.0
96.0,44.0,50.0,44.0,50.5,66.0,72.5,66.0,95.0,66.0,51.0,88.0,94.0,89.0,72.0,44.0
95.0,43.0,50.0,44.0,50.0,66.0,72.5,66.0,95.0,66.0,51.0,88.0,94.0,89.0,72.0,44.0
94.0,43.0,49.5,43.5,49.0,66.0,72.0,66.0,94.5,66.0,51.0,88.0,94.0,89.0,71.0,43.0
93.5,43.5,49.0,44.0,49.0,66.0,71.5,65.5,94.0,65.0,50.0,88.0,93.0,88.0,70.5,43.0
93.0,43.0,48.5,43.5,48.5,65.5,70.0,65.5,93.5,65.5,49.0,88.0,93.0,88.0,70.0,43.0
92.5,43.0,47.0,43.0,47.5,65.5,69.5,65.5,92.5,66.0,49.0,88.0,92.0,88.0,70.0,43.0
92.0,43.0,47.0,43.0,47.0,65.5,69.5,65.5,91.5,65.5,48.5,87.5,92.0,88.0,69.0,43.0
91.0,43.0,46.0,43.0,46.5,65.5,68.5,65.5,91.5,65.5,47.0,87.0,90.0,88.0,68.0,43.0
90.5,42.5,45.5,43.0,46.5,65.5,67.5,65.5,90.0,65.0,47.0,87.0,90.0,88.0,67.0,43.0
90.0,43.0,44.0,43.0,44.5,65.0,67.0,65.0,90.0,65.5,46.0,87.5,88.5,87.5,66.0,43.0
89.0,43.0,43.0,43.0,43.5,65.5,65.5,65.5,89.0,65.5,44.5,87.5,88.5,87.5,65.0,43.5
88.5,43.0,42.0,43.0,42.5,65.5,65.5,65.5,88.0,65.5,43.0,88.0,87.0,87.0,64.0,43.0
86.0,43.0,41.0,43.0,42.5,65.5,64.0,66.0,86.0,66.0,43.0,88.0,85.0,88.0,64.0,43.5
86.0,43.0,41.0,43.0,41.0,66.0,63.0,66.0,85.0,66.0,42.0,88.0,85.0,88.0,63.0,44.0
85.0,44.0,40.5,43.5,41.0,66.0,63.0,66.0,85.0,66.0,42.0,88.0,84.0,88.0,62.0,43.5
84.5,44.0,40.0,44.0,40.5,66.0,63.0,65.5,85.0,66.0,41.0,88.0,84.0,88.0,62.0,44.0
85.0,44.0,40.0,44.0,39.0,66.0,63.0,65.5,84.0,66.0,41.0,88.0,83.0,88.0,62.0,44.0
83.0,44.0,37.0,44.0,38.0,66.0,62.0,66.0,82.5,65.5,38.0,89.0,81.0,89.0,29.0,125.0
81.0,44.0,35.5,44.5,36.0,67.0,59.0,66.0,81.0,67.0,36.5,89.5,80.0,89.0,58.0,45.0
80.0,44.5,34.0,45.0,34.5,67.0,57.5,67.0,80.0,67.0,36.0,89.0,79.0,89.5,58.0,45.5
78.0,45.0,33.5,45.5,34.0,67.0,56.5,67.5,78.5,67.5,34.5,90.0,77.5,89.5,56.0,45.0
78.0,45.0,33.0,46.0,33.0,68.0,56.0,67.0,78.0,67.5,34.0,89.5,77.0,90.0,55.0,46.0
77.0,46.0,32.0,46.0,32.5,68.0,55.0,68.0,77.0,68.0,33.0,90.0,76.0,91.0,54.0,47.0
76.5,46.5,31.0,46.0,31.0,69.0,54.0,68.5,76.0,68.0,32.0,91.0,75.0,91.0,53.5,46.5
75.5,47.0,31.0,47.0,30.5,69.5,54.0,69.0,75.5,69.5,31.0,92.0,74.0,92.0,53.0,47.0
75.0,47.5,30.0,48.0,29.5,69.5,52.5,69.5,74.5,69.5,30.0,92.0,73.5,92.0,52.0,48.0
74.0,47.5,29.0,48.0,29.0,70.0,52.0,70.0,74.0,70.0,29.0,93.0,72.5,93.0,51.5,48.0
73.0,48.0,28.0,49.0,28.5,71.0,51.5,70.0,73.0,70.0,29.0,93.0,72.5,93.0,51.0,48.5
