u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
64.5,44.0,17.0,44.0,18.5,66.0,42.5,66.0,64.5,66.0,19.0,89.0,63.0,89.0,41.0,44.0
65.0,45.0,18.0,45.0,18.5,67.5,42.5,67.5,65.0,67.0,18.5,90.0,63.0,89.5,42.0,45.5
65.0,46.0,19.0,46.0,18.5,68.5,43.0,68.0,65.5,67.5,19.0,91.5,64.0,90.5,42.0,46.0
65.5,47.5,19.5,47.5,20.0,70.0,43.5,69.5,65.5,69.5,20.0,92.0,64.0,92.0,43.0,48.0
66.5,48.0,20.5,48.0,20.5,70.5,44.0,70.0,66.5,70.0,21.0,93.0,65.0,92.0,43.5,85.5
67.0,49.0,21.5,49.5,21.5,71.5,45.0,71.0,67.0,71.5,21.0,94.0,65.5,93.5,45.0,50.0
67.0,50.0,22.0,50.0,22.5,72.0,46.0,72.0,68.0,71.5,22.5,94.5,66.5,94.0,45.0,50.0
68.5,50.5,24.0,51.0,24.0,73.0,47.0,72.0,69.0,72.0,24.0,95.0,68.0,95.0,46.5,50.5
70.0,51.5,25.0,51.5,25.0,73.5,48.0,73.0,70.0,73.0,25.0,96.0,69.0,95.5,48.0,51.5
71.0,51.5,26.5,52.5,27.0,74.0,49.5,74.0,71.0,73.5,26.0,97.0,70.5,96.0,49.0,52.0
72.0,52.0,28.0,53.0,28.5,75.0,51.0,74.0,72.0,74.0,28.0,97.0,,,50.0,52.0
74.0,52.5,29.5,53.5,30.0,75.0,,,74.0,74.5,29.5,97.5,73.0,97.0,52.0,53.0
75.5,53.0,31.0,53.5,31.0,75.0,,,76.0,75.0,31.0,97.5,74.5,97.5,53.0,123.0
76.5,53.5,32.5,53.5,32.5,75.5,,,77.0,75.5,32.5,98.5,76.5,97.5,42.0,124.0
78.5,53.5,34.5,54.0,34.5,75.5,56.5,75.5,78.5,75.5,34.0,98.0,77.5,98.0,56.0,123.0
79.0,53.5,36.0,54.0,36.0,75.5,58.0,75.0,,,36.0,98.5,79.0,98.0,58.0,88.5
,,37.5,54.0,37.0,76.0,59.5,75.5,81.5,75.5,38.0,98.0,81.0,98.0,59.0,54.0
,,39.0,54.0,39.0,75.5,61.0,75.5,83.0,75.5,,,82.5,98.0,59.5,88.5
85.0,53.0,41.5,53.0,,,62.5,75.5,,,41.0,97.0,85.0,98.0,62.0,54.0
,,42.0,53.5,42.0,75.0,63.0,75.0,,,42.5,97.5,85.5,97.0,60.5,88.5
,,42.0,53.0,,,,,,,44.0,97.0,,,29.0,125.0
,,,,45.0,74.0,63.0,75.0,89.0,74.5,46.0,97.0,89.0,97.0,29.0,125.0
90.0,53.0,47.0,52.0,46.5,73.5,68.0,74.0,91.0,74.0,47.0,97.0,90.5,97.5,68.0,52.0
92.0,52.0,47.0,52.0,48.0,73.0,69.0,73.0,92.5,73.5,48.5,95.5,91.5,96.0,68.0,52.0
93.0,51.0,49.0,51.0,49.5,73.0,70.5,73.0,93.5,73.0,50.0,95.0,93.0,95.5,70.0,52.0
94.5,50.0,50.0,50.0,51.0,71.0,72.5,71.5,95.0,72.0,51.0,94.0,94.5,94.5,72.0,50.0
95.5,49.5,51.5,50.0,52.0,71.0,73.0,71.0,95.5,71.5,52.0,93.0,96.0,94.0,72.5,50.0
98.0,49.0,52.0,49.0,53.0,70.0,74.5,70.5,97.0,71.0,53.0,93.0,97.5,93.5,74.0,49.5
99.0,47.5,53.0,48.0,54.0,69.0,75.5,69.5,98.0,70.0,54.5,92.5,98.0,93.0,75.0,48.0
99.0,47.0,54.0,47.0,55.0,68.0,76.0,69.0,99.0,69.0,55.0,91.0,99.0,91.5,76.0,47.0
100.0,45.0,54.5,46.5,55.0,67.5,77.0,68.0,99.5,67.5,56.0,90.0,99.0,91.0,76.0,46.0
101.0,44.0,55.0,44.0,55.0,66.5,77.0,66.0,100.0,67.0,56.0,89.0,100.0,89.0,77.0,45.0
101.0,43.0,55.0,44.0,55.5,66.0,77.0,66.0,101.0,66.0,57.0,88.0,99.0,89.0,77.0,44.0
101.5,42.5,55.0,43.0,56.0,65.0,77.5,64.5,102.0,65.0,57.0,87.0,101.0,87.0,77.0,43.0
101.0,41.0,55.0,42.0,56.0,65.0,78.0,64.0,101.0,64.0,57.0,86.0,101.0,86.0,77.0,42.0
102.0,40.0,55.5,40.5,56.0,63.0,78.0,64.0,101.5,63.5,57.0,85.0,100.0,85.0,77.0,41.0
101.5,38.5,55.0,39.0,55.0,61.0,77.0,61.0,101.0,61.0,57.0,84.0,100.0,84.0,77.0,39.0
101.0,37.0,54.0,38.0,55.0,60.0,77.0,60.0,100.0,60.0,56.0,82.0,99.5,82.5,77.0,38.0
100.0,36.0,53.0,37.0,54.0,59.0,76.0,59.0,99.5,58.5,56.0,82.0,98.5,82.0,76.0,36.0
99.0,35.0,52.0,36.0,54.0,58.0,75.5,58.5,99.0,58.0,54.0,80.5,97.5,80.5,75.0,35.5
98.0,34.0,51.0,35.0,52.0,58.0,74.5,58.0,97.0,57.0,53.0,80.0,97.0,80.0,73.5,34.5
97.5,32.5,49.0,34.0,50.0,57.0,73.5,56.5,96.0,56.0,51.5,78.5,94.0,79.0,73.0,33.0
96.0,32.0,48.0,33.0,49.0,56.0,71.5,55.5,94.5,55.0,50.0,78.0,93.0,78.0,71.5,32.5
94.0,31.0,47.0,32.0,47.0,55.0,69.5,54.5,93.0,54.0,49.0,77.0,91.0,77.0,69.0,32.0
92.0,31.0,45.0,31.0,45.5,54.0,67.5,54.5,91.0,54.0,46.0,77.0,89.5,76.5,67.0,31.0
89.5,30.5,42.0,31.0,43.5,54.0,65.5,54.5,89.0,54.0,44.0,77.0,88.0,77.0,65.0,31.0
87.0,30.0,40.0,30.0,41.0,54.0,64.0,54.0,87.0,53.0,42.0,76.0,86.0,77.0,63.0,31.0
85.0,30.0,38.0,30.0,39.0,53.0,61.5,54.0,84.5,53.5,40.0,76.0,83.5,76.5,61.0,31.0
83.0,30.0,36.0,30.0,37.0,53.0,59.5,54.0,82.0,53.0,38.0,76.0,81.0,76.5,59.0,31.0
80.0,30.0,33.0,30.0,34.0,53.0,57.5,54.5,80.0,54.0,35.5,76.5,78.0,76.0,57.0,31.0
77.5,30.5,31.0,30.0,32.0,54.0,55.5,54.5,78.0,54.0,33.5,76.5,77.0,77.0,54.5,31.0
75.5,30.5,29.0,31.0,29.5,54.5,53.5,54.5,76.0,54.0,31.0,77.0,74.5,77.0,53.0,31.0
74.0,32.0,27.0,32.0,27.5,54.5,51.5,54.5,74.0,55.0,29.0,78.0,73.0,78.0,50.0,32.0
72.0,33.0,26.0,33.0,26.0,56.0,49.5,56.5,72.0,56.0,27.5,78.5,71.0,79.0,49.0,33.0
70.5,34.0,23.0,33.0,24.5,56.0,48.0,57.0,71.0,57.0,25.5,78.5,69.0,79.0,48.0,34.0
69.5,34.5,22.0,35.0,23.0,58.0,47.0,58.0,69.0,58.0,24.0,80.0,68.0,81.0,45.0,35.0
68.0,36.0,20.0,36.0,21.5,58.5,45.0,59.0,68.0,59.0,23.0,81.0,67.0,81.5,45.0,36.0
67.0,37.0,20.0,37.0,20.5,59.0,44.5,60.5,67.0,60.0,21.5,82.5,65.5,82.5,44.0,38.0
66.0,38.0,18.5,38.0,19.5,60.5,44.0,61.0,66.0,61.0,20.0,83.0,65.0,84.0,43.0,40.0
66.0,39.0,18.0,40.0,19.0,62.0,43.5,62.0,66.0,62.0,19.0,84.0,64.5,84.5,43.0,40.0
65.0,40.0,17.5,40.5,18.0,63.0,42.5,63.0,65.0,63.0,19.0,86.0,63.5,85.5,41.5,41.0
65.0,42.0,18.0,42.0,18.0,64.0,42.0,64.0,65.0,64.0,19.0,87.0,64.0,86.5,41.0,42.0
65.0,43.0,17.5,43.0,18.0,65.5,42.0,65.5,64.5,65.5,19.0,88.0,63.5,87.5,42.0,44.0
64.5,44.0,18.0,44.0,18.0,67.0,42.0,66.0,64.5,66.0,18.5,89.0,63.0,88.5,42.0,44.5
65.0,45.0,18.5,46.0,19.0,67.0,42.5,67.5,65.0,67.0,19.0,90.0,63.5,89.5,42.5,84.5
65.0,46.0,19.0,47.5,19.0,69.0,42.5,68.5,65.5,68.0,19.0,91.5,64.0,90.0,43.0,85.0
66.0,47.0,20.0,48.0,20.0,69.5,43.5,69.5,65.5,69.5,20.0,92.0,64.5,91.5,44.0,123.0
66.5,48.0,21.0,49.5,21.0,71.0,44.5,70.5,66.5,70.5,20.5,93.5,65.0,93.0,51.0,123.0
67.0,49.0,22.0,50.0,21.5,71.5,45.0,71.0,67.0,71.5,22.0,94.0,66.5,93.5,45.0,123.0
68.0,50.0,23.0,51.0,22.5,72.0,46.0,72.0,68.0,72.0,22.5,95.0,67.0,94.5,46.0,123.0
69.0,50.5,24.5,51.5,24.5,73.5,47.0,72.5,69.0,73.0,24.0,96.0,68.5,95.5,38.0,124.0
70.5,51.5,26.0,52.0,25.5,73.5,48.5,73.5,70.5,73.5,25.0,96.0,69.5,95.5,48.0,87.5
