u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
82.0,43.5,37.0,44.0,37.0,66.0,60.0,66.0,82.0,66.0,38.0,88.0,81.5,89.0,59.0,44.0
82.0,43.5,36.5,44.0,37.0,65.0,59.5,65.5,82.0,65.5,38.0,88.0,80.5,88.5,59.0,44.0
82.5,42.5,37.0,43.0,37.0,65.0,,,82.5,65.5,38.5,87.0,81.5,87.5,60.0,43.0
82.0,42.0,37.0,42.0,37.0,65.0,59.5,64.5,83.0,65.0,38.0,87.0,81.0,87.0,59.0,42.0
82.5,41.5,37.0,42.0,37.5,63.5,59.0,64.0,82.0,64.0,38.0,86.0,80.5,86.5,59.0,42.0
82.5,41.5,36.5,41.5,37.0,63.0,59.5,63.5,82.0,63.5,38.0,85.5,81.0,86.0,59.0,42.0
81.0,41.5,36.0,41.0,36.0,63.0,59.0,63.5,81.0,63.5,37.0,85.5,81.0,85.0,58.0,42.0
80.5,41.5,35.0,42.0,36.0,63.0,58.0,63.5,80.0,63.0,36.0,86.0,79.0,86.0,57.0,42.0
79.0,42.0,34.0,42.0,34.5,64.0,56.5,64.0,79.0,63.5,35.0,86.0,78.0,86.0,57.0,42.0
78.5,41.0,33.0,41.0,34.0,63.0,56.0,64.0,78.0,63.0,34.0,86.0,76.5,86.0,56.0,42.0
78.0,41.0,33.0,40.5,34.0,63.0,56.0,63.0,79.0,63.0,34.0,85.0,77.0,85.0,56.0,41.0
78.5,40.0,34.0,40.0,34.5,62.0,56.5,62.5,78.0,62.0,35.0,84.0,77.0,84.0,56.0,40.0
79.5,39.5,34.0,40.0,35.0,62.0,57.0,62.0,80.0,62.0,35.5,84.0,78.5,84.5,57.0,40.0
80.0,39.0,35.0,39.0,36.0,61.0,58.0,61.0,80.0,62.0,36.5,83.5,80.0,83.5,57.0,40.0
80.0,39.0,34.5,38.5,35.0,61.0,58.0,61.0,80.0,62.0,36.0,83.0,79.0,83.0,56.5,39.0
81.0,38.0,34.5,38.0,36.0,60.0,58.5,61.0,80.0,61.0,37.0,83.0,79.0,83.0,57.0,38.0
81.0,38.0,34.5,38.5,36.0,60.5,59.0,61.0,81.0,61.0,37.0,83.0,80.0,83.0,58.0,39.0
81.0,38.0,35.0,38.0,36.0,60.0,59.0,61.0,81.0,61.0,37.0,83.0,80.0,83.0,58.0,39.0
81.0,38.0,35.5,38.0,37.0,60.0,59.0,61.0,81.0,61.0,37.5,83.0,80.0,83.0,58.0,39.0
81.5,39.0,36.0,39.0,37.0,61.0,58.5,61.5,81.5,61.5,38.0,83.0,80.0,83.0,58.0,39.0
83.0,38.0,37.0,38.5,37.5,61.0,60.0,61.0,82.0,61.0,38.5,83.5,81.0,83.0,60.0,38.5
84.0,38.0,38.0,38.0,39.0,60.0,62.0,61.0,82.5,60.5,39.0,83.0,81.0,83.0,60.0,38.0
84.0,37.0,38.0,37.5,38.5,60.5,61.0,60.0,84.0,60.0,40.0,82.0,82.5,82.0,61.0,38.0
84.0,37.0,38.0,37.0,39.5,59.5,61.5,59.5,84.0,60.0,40.0,81.5,83.5,81.5,61.0,37.0
84.0,37.0,38.0,37.5,39.0,60.0,61.0,60.0,84.0,60.0,40.0,82.0,82.5,82.0,61.0,38.0
83.5,37.0,37.5,37.0,38.0,59.0,61.0,59.0,83.0,59.0,39.5,81.5,82.0,81.0,60.0,37.5
84.0,37.0,38.0,37.0,38.5,59.5,61.5,59.5,84.0,59.0,39.5,81.5,82.5,81.5,61.0,37.0
84.0,37.0,38.0,37.5,38.5,59.5,61.0,59.0,83.5,59.5,39.5,81.5,82.0,81.0,60.5,37.5
84.0,38.0,38.0,38.0,38.5,60.0,61.0,60.0,83.5,60.0,39.5,82.0,82.0,82.0,60.0,38.0
83.0,39.0,37.0,39.0,38.0,61.0,60.5,61.0,83.0,61.0,39.0,83.0,81.0,83.0,60.0,39.0
84.0,39.0,38.0,39.0,38.5,61.5,61.0,61.5,83.5,61.5,39.5,83.5,82.0,83.5,60.0,39.0
83.0,38.0,38.0,38.0,38.5,61.0,61.0,61.0,83.0,61.0,39.0,83.0,82.0,83.0,60.0,39.0
84.0,38.5,38.5,39.0,38.5,61.5,61.0,61.0,84.0,61.0,39.0,83.0,82.5,83.5,61.0,39.0
84.0,38.0,38.0,38.0,38.5,61.0,61.0,61.0,84.0,61.0,39.0,83.0,82.0,83.0,61.0,39.0
84.5,38.5,39.0,39.0,38.5,61.5,62.0,61.0,84.0,61.0,39.5,83.5,83.0,83.5,61.0,39.0
84.5,39.0,39.0,39.0,39.0,62.0,62.0,62.0,84.0,61.0,40.0,84.0,83.0,84.0,61.0,40.0
85.0,39.0,40.0,39.0,40.0,61.0,62.5,62.0,85.0,61.0,41.0,83.0,83.5,83.5,62.0,39.0
85.0,39.0,39.5,39.5,40.0,61.0,62.5,62.0,85.0,62.0,41.0,83.0,83.0,84.0,62.0,39.0
85.0,40.0,39.5,39.5,40.0,62.0,63.0,62.0,85.0,62.0,41.0,84.0,84.0,84.0,62.0,40.0
85.0,40.0,41.0,39.0,41.0,62.0,63.0,62.0,85.0,62.0,42.0,84.0,84.5,84.5,62.0,40.0
86.0,40.0,41.0,40.0,42.0,63.0,64.0,62.0,86.0,62.0,42.5,84.5,85.0,85.0,62.0,40.0
86.5,40.0,42.0,39.5,42.0,62.0,64.0,62.0,86.0,63.0,42.5,84.5,85.5,84.5,63.5,40.0
86.0,39.0,42.0,39.0,42.0,62.0,64.0,62.0,86.5,61.5,42.5,84.5,85.0,84.0,63.0,40.0
87.0,40.0,42.0,39.0,42.0,62.0,64.0,62.0,87.0,62.0,43.0,84.0,86.0,84.0,64.0,40.0
87.5,40.0,42.5,40.0,42.5,62.0,65.0,62.0,88.0,62.0,44.0,84.0,87.0,84.0,64.0,40.0
87.5,40.5,42.0,41.0,42.5,62.5,64.5,63.0,88.0,63.0,44.0,85.0,86.0,85.0,64.0,41.0
88.0,40.0,42.0,40.0,42.5,62.5,65.0,62.5,87.5,62.0,44.0,84.0,86.0,85.0,64.5,40.0
88.0,40.0,42.5,41.0,43.0,63.0,65.5,63.5,88.0,63.0,44.0,85.0,87.0,85.0,64.5,41.0
88.0,41.0,42.0,41.5,43.0,64.0,65.0,64.0,87.0,64.0,43.0,86.0,86.5,86.0,64.0,42.0
87.0,41.0,42.0,42.0,42.0,64.0,64.0,64.0,87.0,64.0,43.0,86.0,86.0,86.0,63.5,42.0
86.0,42.0,41.0,42.5,42.0,64.0,64.0,64.0,86.0,65.0,42.0,87.0,85.0,87.0,63.0,43.0
86.0,41.0,41.0,41.5,41.0,63.0,63.5,64.0,86.0,64.0,42.0,86.0,84.0,86.0,63.0,42.0
86.0,41.0,41.0,41.0,41.0,63.0,63.5,63.0,86.0,63.0,42.0,85.0,84.5,85.0,63.0,42.0
86.0,41.0,40.5,41.0,41.0,63.0,63.0,63.0,85.0,63.0,42.0,85.0,85.0,85.0,62.5,41.0
86.0,40.5,40.0,41.0,41.0,63.0,63.0,63.0,85.0,63.0,42.0,85.0,84.0,86.0,62.5,41.0
86.0,41.0,40.5,41.0,41.0,64.0,63.0,63.0,85.0,64.0,42.0,86.0,84.5,86.5,63.0,42.0
