u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
64.5,44.0,17.0,44.0,18.5,66.0,42.5,66.0,65.0,66.0,19.0,89.0,62.5,89.0,41.0,44.0
64.5,44.0,17.5,44.0,18.5,66.0,42.5,66.0,64.5,66.0,19.0,89.0,62.5,89.0,41.5,43.5
65.0,44.0,18.0,44.0,19.0,66.0,42.5,66.0,65.0,66.0,19.0,89.0,64.0,88.5,42.0,44.0
64.5,43.5,19.5,43.5,20.0,66.0,43.0,66.0,65.0,65.5,20.0,88.0,65.0,88.0,43.0,44.0
66.0,44.0,19.5,43.5,21.0,66.0,45.0,66.0,66.0,66.0,21.0,88.0,65.0,88.0,43.0,44.0
66.5,44.0,21.0,44.0,22.0,66.0,44.5,65.5,67.0,65.5,22.0,88.0,65.0,87.5,44.0,44.0
67.5,43.5,22.0,44.0,22.0,66.0,45.5,65.5,67.5,65.5,22.5,87.5,66.5,87.0,45.0,44.0
68.5,43.5,23.0,43.0,23.0,65.0,46.5,65.5,69.0,66.0,24.0,87.0,67.0,87.5,46.0,43.0
70.0,43.0,24.0,44.0,25.0,66.0,47.5,65.5,69.5,65.5,26.0,87.0,68.5,88.0,46.5,44.0
70.0,43.0,25.5,43.5,26.0,65.0,49.0,65.5,71.0,65.5,27.0,87.0,70.0,87.0,49.0,43.0
73.0,43.0,28.0,43.0,27.5,65.0,51.0,65.5,73.0,65.5,28.5,87.5,71.0,87.0,50.0,43.0
74.5,43.0,29.0,43.0,30.0,66.0,53.0,65.0,74.0,66.0,30.0,87.0,73.0,87.0,52.5,43.0
75.0,43.0,30.5,42.5,31.0,65.0,54.0,65.0,76.0,65.0,32.0,87.0,74.5,86.5,53.0,43.0
77.0,42.0,32.0,43.0,32.5,65.0,54.5,65.5,76.5,65.5,33.0,87.0,76.0,87.0,54.0,43.0
78.0,43.0,33.5,43.0,33.5,65.0,55.5,65.0,78.0,65.0,34.5,86.5,77.0,87.0,56.0,43.0
79.0,43.0,34.5,42.5,34.0,65.0,56.0,65.5,78.0,65.0,36.5,86.5,,,57.0,83.0
81.5,43.0,37.0,42.5,37.0,65.0,,,,,38.5,86.5,80.5,86.5,59.0,43.0
,,,,,,,,84.5,65.5,39.0,87.0,83.0,87.0,59.5,83.0
,,41.0,44.0,41.0,66.0,,,84.5,65.5,42.0,87.0,84.0,87.0,45.0,84.0
84.0,44.0,42.0,44.0,41.0,66.0,,,85.0,66.0,42.5,86.5,84.0,88.0,46.0,84.5
86.0,43.0,41.0,84.5,42.0,65.0,64.0,65.5,86.0,66.0,45.0,86.0,,,64.5,43.0
90.0,42.5,45.0,42.0,,,,,,,47.0,87.0,89.0,87.0,67.0,42.5
90.0,42.0,46.5,42.5,46.0,65.0,68.5,65.5,90.5,65.5,47.0,86.5,90.5,86.5,68.0,42.5
92.5,42.5,47.0,42.0,47.0,65.0,68.0,65.0,92.0,65.0,48.5,87.0,91.0,87.0,69.0,42.0
94.0,42.0,49.0,42.0,48.5,65.0,71.0,65.0,94.0,65.0,50.5,86.5,93.0,87.0,70.0,42.5
95.0,42.0,50.5,42.5,50.5,65.5,72.5,65.5,94.5,64.5,51.0,87.0,94.5,86.5,72.0,43.0
97.0,42.0,51.0,43.0,52.0,65.5,73.0,66.0,95.0,65.0,52.5,86.5,95.0,87.0,73.0,43.0
97.5,42.5,52.0,43.0,52.5,65.5,74.5,65.5,98.0,65.0,54.0,87.0,97.0,87.0,74.0,43.0
98.5,42.5,53.0,43.0,53.5,65.5,75.0,65.5,98.0,65.0,54.5,86.5,98.0,87.0,75.0,43.0
99.0,43.0,54.0,43.0,55.0,65.0,76.5,65.5,99.0,65.0,55.5,86.5,98.0,87.0,76.0,43.0
100.0,42.0,54.5,42.5,55.0,65.0,77.0,65.0,99.0,65.0,56.0,87.0,99.0,87.0,77.0,43.0
101.5,42.5,55.0,43.0,55.0,65.0,77.0,64.5,100.0,65.0,56.0,87.0,100.0,87.0,77.0,43.0
101.5,42.5,55.0,43.0,55.0,65.0,77.0,65.0,101.0,65.0,56.0,87.0,100.0,87.0,77.0,43.0
101.5,42.5,55.5,42.5,55.0,65.0,78.0,65.0,101.0,65.0,57.0,87.0,100.0,87.0,77.0,43.0
101.5,42.5,55.5,42.5,55.0,65.0,78.0,65.0,101.0,65.0,57.0,87.0,100.0,87.0,77.0,43.0
101.5,42.5,55.5,42.5,55.0,65.0,78.0,65.0,101.0,65.0,57.0,87.0,100.0,87.0,77.0,43.0
101.5,42.5,55.5,42.5,55.0,65.0,78.0,65.0,101.0,65.0,56.0,87.0,99.5,87.5,77.0,43.0
101.0,43.0,55.0,43.0,55.0,65.5,77.0,65.0,101.0,65.0,56.0,87.5,99.5,88.5,77.0,43.0
99.5,42.5,54.5,43.0,55.0,65.5,76.0,65.0,100.0,65.0,56.0,88.0,99.0,88.0,76.0,43.0
99.5,42.5,53.5,43.0,54.0,66.0,75.5,65.5,99.0,66.0,54.0,88.0,98.0,88.0,75.0,43.0
97.5,42.5,52.0,43.0,52.0,66.0,75.0,65.0,98.0,65.5,54.0,88.0,97.0,88.0,73.0,43.0
97.0,43.0,51.0,43.0,51.0,66.0,73.0,66.0,97.0,66.0,51.5,88.0,95.5,88.5,72.0,43.5
95.0,43.0,49.0,43.0,49.0,66.0,71.5,65.5,95.0,66.0,50.0,88.0,94.0,88.0,71.0,43.0
93.0,43.0,47.5,43.0,47.0,66.0,69.5,66.0,93.0,66.0,48.0,88.0,92.0,88.0,69.0,43.0
91.0,43.0,45.0,43.0,45.0,66.0,68.0,66.0,91.0,66.0,46.0,88.5,90.0,88.0,67.0,43.0
89.5,42.5,42.5,43.0,42.0,66.0,65.0,66.0,89.0,66.0,43.5,88.5,88.0,88.0,65.0,43.0
86.0,43.0,41.0,43.0,41.0,66.0,63.0,66.0,86.0,66.0,42.0,88.5,85.5,88.5,63.0,43.0
85.0,43.0,39.0,43.0,39.0,66.0,62.0,66.0,85.0,66.0,40.0,88.5,83.5,88.5,61.0,43.0
83.0,43.0,36.0,43.0,35.5,65.5,59.5,65.5,83.0,65.5,37.5,88.0,82.0,88.0,59.0,43.0
80.0,42.5,34.0,43.0,34.0,65.5,57.0,66.0,80.0,65.0,35.0,88.0,79.0,88.0,57.0,43.0
78.0,42.0,32.0,43.0,32.0,65.0,55.0,65.5,78.0,65.0,33.0,88.0,77.0,88.0,55.0,43.0
75.5,42.5,29.5,42.5,30.0,65.0,54.0,65.0,76.0,65.0,31.0,88.0,75.0,88.0,53.0,43.0
74.0,42.5,28.0,43.0,28.0,65.0,52.0,65.0,74.0,65.0,29.0,88.0,73.0,88.0,51.0,43.0
72.0,42.0,26.0,43.0,26.0,65.0,50.0,65.0,73.0,65.0,27.0,88.0,71.0,87.5,49.0,43.0
71.0,42.0,24.0,43.0,24.0,65.0,48.0,65.0,71.0,65.0,25.0,87.5,69.0,87.5,48.0,43.0
70.0,42.0,22.0,43.0,23.0,65.0,47.0,65.0,69.0,65.0,23.0,88.0,67.5,87.5,46.0,43.0
67.5,42.0,22.0,43.0,22.0,65.0,45.0,64.0,68.0,65.0,22.0,87.5,66.0,87.0,45.5,43.0
67.0,42.0,20.0,42.5,21.0,65.0,45.0,64.5,67.0,64.5,21.0,87.0,66.0,87.0,44.5,43.5
66.0,42.5,20.0,42.5,20.0,64.5,44.0,65.0,66.5,64.5,21.0,87.0,65.0,87.0,44.0,43.0
66.0,42.0,19.0,42.0,19.0,64.0,44.0,64.0,66.0,64.0,20.0,87.0,64.0,87.0,43.5,42.5
65.0,42.0,18.0,42.0,18.5,64.5,43.0,64.0,65.5,64.0,19.5,87.0,64.0,87.0,42.0,42.0
65.0,42.0,18.0,42.0,18.0,64.0,42.5,64.0,65.0,64.0,19.0,87.0,64.0,87.0,41.5,42.0
65.0,42.0,18.0,42.0,18.0,64.0,43.0,64.0,65.0,64.0,19.0,86.5,64.0,86.0,41.5,42.0
65.0,42.0,18.0,42.0,18.0,64.0,42.5,64.0,65.0,64.0,19.0,86.0,64.0,86.0,41.5,42.0
65.0,42.0,18.0,42.0,19.0,64.0,42.5,64.0,65.0,64.0,19.5,86.0,64.0,86.0,42.0,42.0
66.0,42.0,18.5,42.0,19.5,63.5,43.5,63.5,65.0,64.0,20.0,86.0,64.5,86.0,42.5,42.0
65.5,41.5,20.0,42.0,20.0,63.5,43.5,63.5,65.5,63.5,21.0,86.0,65.0,86.0,44.0,42.0
66.5,41.5,20.0,41.0,21.0,63.0,44.5,64.5,66.5,63.5,21.0,86.0,65.5,85.5,44.5,42.0
67.0,41.0,21.0,41.0,22.0,63.5,45.0,64.0,67.5,63.5,22.0,86.0,65.5,85.5,45.0,42.0
68.0,41.0,22.0,41.0,23.0,63.0,46.0,63.0,68.0,63.0,24.0,85.0,67.0,86.0,46.0,42.0
69.0,41.0,23.5,41.0,24.0,63.0,47.0,63.0,69.0,63.0,24.0,85.0,68.0,85.0,47.0,42.0
70.0,41.0,24.5,41.5,25.0,63.0,48.0,63.0,70.0,63.0,26.0,85.0,69.0,85.0,48.0,42.0
71.5,41.0,26.5,41.0,27.0,63.0,50.0,63.0,71.5,63.0,26.5,85.0,70.0,86.0,49.0,41.0
73.0,41.5,28.0,41.0,28.0,63.0,51.0,63.0,73.0,63.0,29.0,85.5,71.0,85.0,51.0,41.5
74.5,41.0,29.5,41.0,30.0,63.0,52.5,62.5,74.0,63.0,30.0,85.0,73.0,85.0,52.5,41.5
76.0,41.0,31.0,41.0,31.0,63.0,54.5,62.5,76.0,63.0,32.0,84.5,74.5,84.5,54.0,41.0
77.0,41.0,33.0,41.0,33.0,63.0,55.0,63.0,77.0,63.0,33.5,84.5,76.0,85.0,54.5,42.0
78.5,41.0,34.0,41.5,34.0,63.0,56.0,63.0,78.0,63.0,35.0,85.0,77.0,85.0,56.5,42.0
80.5,40.0,35.0,41.0,36.0,63.0,58.0,63.0,80.0,63.0,36.5,84.0,79.0,85.0,58.0,41.0
