u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
70.0,44.0,24.5,44.0,25.0,66.0,48.5,66.0,70.5,66.0,25.0,89.0,69.0,89.0,47.5,43.5
70.5,44.0,24.0,45.0,25.0,67.0,48.0,66.5,70.0,66.5,25.0,89.0,69.0,89.5,47.5,44.0
70.5,45.0,25.0,45.0,25.0,68.0,49.0,68.0,70.0,68.0,25.0,90.0,69.0,90.0,48.0,45.0
70.0,46.0,25.0,46.0,25.0,68.0,49.0,68.5,70.0,68.0,25.5,91.0,69.5,90.5,48.0,45.0
70.0,47.0,25.0,47.0,25.5,69.5,48.5,69.0,70.0,69.0,26.0,91.0,70.0,91.0,49.0,47.0
70.5,47.5,25.0,48.0,25.5,69.5,49.0,70.0,70.5,69.5,26.0,92.0,70.0,91.5,48.5,48.0
71.0,48.0,26.0,48.0,26.5,70.0,49.0,70.0,71.0,70.0,26.5,93.0,70.0,92.0,48.0,48.0
70.5,48.0,26.5,49.5,26.0,71.0,49.5,70.5,71.0,70.5,27.0,93.5,71.0,93.0,49.0,49.0
71.0,49.0,26.5,49.5,26.0,71.0,50.0,72.0,72.0,71.5,26.5,94.5,71.0,94.0,49.0,50.0
72.0,50.0,27.0,50.0,27.5,72.5,50.5,72.0,72.5,72.0,27.5,95.5,71.0,95.0,50.0,50.0
73.0,51.0,27.5,51.5,28.0,73.0,50.5,73.5,72.5,73.5,28.0,96.0,71.5,96.0,50.0,51.0
73.0,51.5,28.5,52.5,28.0,74.0,51.5,73.5,73.0,74.0,28.5,97.5,72.0,97.0,50.5,52.0
73.5,52.5,28.5,53.5,28.5,75.5,52.0,75.0,74.0,75.0,29.0,98.0,73.0,98.0,51.0,52.0
74.5,53.5,29.0,54.0,29.0,76.0,52.5,75.5,74.5,75.5,29.0,99.0,73.5,98.5,52.0,54.0
75.0,54.0,30.0,55.0,30.0,77.0,53.0,76.0,75.0,76.5,30.0,100.0,74.5,99.5,52.0,54.0
75.5,54.5,30.5,55.5,30.5,77.5,53.5,77.0,76.0,77.0,30.5,101.0,75.0,100.0,54.0,55.0
76.5,55.5,31.5,55.5,31.0,78.0,54.5,77.5,76.5,77.5,31.0,101.5,76.0,101.0,55.0,56.0
77.0,56.0,32.5,56.0,32.0,78.5,55.0,78.0,77.0,78.0,31.5,102.0,76.5,101.5,55.0,56.0
77.5,55.5,33.0,56.5,33.0,79.0,55.0,78.0,78.0,78.0,33.0,102.0,77.0,101.5,55.0,56.0
78.0,56.0,34.0,57.0,34.0,79.0,56.5,78.5,79.0,78.0,34.0,102.5,78.5,102.0,58.5,89.5
,,35.0,57.0,35.0,79.0,57.0,78.5,79.5,78.5,35.0,103.0,79.0,102.0,61.0,123.0
,,35.5,56.5,35.5,79.5,58.5,78.5,80.5,78.5,36.0,102.0,80.0,102.0,58.5,56.0
81.0,56.0,36.5,56.5,36.5,79.0,59.0,79.0,81.0,79.0,36.5,102.0,80.5,102.0,58.5,55.5
82.0,56.0,37.5,56.5,37.0,79.0,59.5,78.5,82.0,78.5,37.0,102.0,81.0,101.5,59.5,55.5
82.5,55.5,38.0,56.0,38.0,78.0,60.5,77.5,82.5,78.0,38.5,101.5,82.0,101.0,60.0,56.0
83.0,55.5,38.5,55.5,39.0,78.0,61.5,77.5,83.5,78.0,39.0,101.0,83.0,101.0,60.0,56.0
84.0,55.5,40.0,56.0,39.5,77.5,62.0,77.5,84.0,78.0,40.0,100.0,84.0,101.0,62.0,56.0
85.0,55.0,40.5,55.5,40.5,77.5,63.0,77.0,84.5,77.5,40.5,100.0,85.0,100.0,62.0,56.0
85.0,55.0,41.0,55.0,41.0,77.0,63.0,77.0,85.0,77.0,41.0,99.5,85.0,100.0,62.0,55.5
85.0,54.5,42.0,54.5,42.0,76.0,63.0,76.5,86.0,77.0,42.0,100.0,85.0,99.5,63.0,55.5
