u0,v0,u1,v1,u2,v2,u3,v3
68.0,97.0,50.5,97.0,67.0,80.0,51.0,79.5
67.5,97.5,50.5,97.5,67.5,80.0,51.0,80.0
68.0,98.0,50.5,98.5,68.0,81.0,51.0,81.0
68.0,99.0,50.5,99.5,67.5,81.5,51.5,81.5
68.5,99.5,51.0,100.0,68.0,82.0,51.5,82.0
68.5,101.0,51.0,101.0,68.5,83.5,51.5,83.5
68.5,101.5,51.5,101.5,68.5,83.5,52.0,84.0
69.0,102.0,52.0,102.0,69.0,84.0,52.5,84.5
70.0,103.0,52.5,102.5,69.0,85.0,53.0,85.0
70.5,103.5,52.5,103.5,69.5,85.5,53.0,85.5
70.5,103.5,53.0,104.0,70.5,85.5,53.5,85.5
70.5,104.0,54.0,104.0,71.0,86.0,54.5,86.5
72.0,105.0,54.0,105.0,71.0,87.0,54.5,87.0
72.5,105.5,54.5,105.5,71.5,87.5,54.5,87.5
72.5,106.5,55.0,106.0,72.5,87.5,56.0,88.0
73.5,107.5,56.5,107.0,73.0,88.0,57.0,88.0
74.5,107.0,56.5,107.0,74.0,89.0,57.0,89.0
75.0,108.0,57.0,108.0,74.0,89.0,57.0,89.0
75.0,108.0,57.0,108.0,75.0,89.0,59.0,89.0
75.5,108.0,59.0,108.0,75.5,90.0,58.0,90.0
77.0,108.0,59.5,108.0,76.0,89.0,59.5,89.5
78.0,108.0,60.0,108.0,77.5,89.5,60.0,89.5
78.5,108.5,61.0,108.0,77.5,89.5,61.5,89.5
79.0,109.0,62.0,108.0,79.0,90.0,61.5,89.5
80.0,108.0,62.0,108.0,79.5,89.5,62.5,89.5
81.0,108.0,63.5,107.5,79.5,89.5,63.5,89.5
82.0,108.0,63.5,107.5,81.0,89.0,63.5,89.5
83.0,108.0,65.0,107.0,81.5,89.5,65.0,89.0
84.0,108.0,66.0,107.0,82.5,89.0,66.0,89.0
84.0,108.0,66.0,107.0,83.0,90.0,66.0,89.0
85.0,108.0,67.0,107.0,84.0,89.0,67.0,88.0
85.5,107.0,68.0,107.0,84.5,89.0,67.5,88.0
86.0,107.0,68.5,106.5,85.0,89.0,68.0,88.0
87.0,107.0,69.0,106.0,86.0,89.0,69.5,87.5
88.0,107.0,70.0,105.5,86.0,89.0,69.5,87.5
89.0,106.0,70.5,105.5,87.0,88.0,70.0,87.5
89.0,105.0,70.5,105.0,88.0,87.0,71.0,86.0
90.0,105.0,72.5,103.5,88.5,86.5,71.0,86.0
90.5,104.0,72.5,103.0,89.0,86.0,72.0,85.0
91.5,103.5,73.0,102.5,90.0,86.0,73.0,85.0
92.0,103.0,74.0,102.0,90.5,85.0,73.5,84.0
92.0,102.0,75.0,101.0,90.5,85.0,74.0,83.5
93.0,101.5,74.5,100.5,92.0,83.5,74.5,83.5
93.0,101.0,75.5,99.5,92.0,83.0,75.0,82.0
94.0,99.5,76.0,99.0,92.5,82.5,75.5,81.5
94.0,99.0,76.0,98.0,93.0,82.0,76.0,81.0
94.5,98.5,77.0,98.0,93.5,81.0,76.5,80.0
95.0,98.0,77.0,97.0,94.0,80.0,77.0,80.0
