u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
41.0,42.0,83.0,51.0,67.0,42.0,64.0,84.0,107.0,85.0,20.5,74.5
44.0,39.0,86.5,48.5,70.0,41.0,67.5,81.5,112.0,82.0,24.0,73.0
46.0,37.0,89.5,46.5,73.0,38.5,70.0,80.0,115.0,81.0,27.0,70.0
49.5,34.5,91.5,44.5,75.0,37.0,72.0,77.0,117.0,79.0,29.0,68.0
49.0,33.0,93.0,42.0,77.0,34.5,72.0,76.0,118.0,76.0,29.5,66.5
50.0,32.0,93.0,41.0,77.0,33.0,73.0,74.0,118.0,75.0,30.0,64.0
49.0,31.0,91.5,40.5,76.0,32.0,72.0,75.0,117.0,75.0,29.5,64.5
47.0,31.0,89.5,40.5,75.0,32.0,70.0,74.0,115.0,75.0,27.5,64.5
45.0,33.0,87.5,42.5,73.0,34.0,68.0,76.0,113.0,76.5,25.0,66.0
42.0,35.0,84.0,45.0,69.0,37.0,65.0,78.0,109.5,79.0,21.5,68.5
40.0,39.0,82.0,48.5,66.0,40.0,63.0,82.0,106.5,82.5,19.5,72.0
37.0,43.0,80.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,16.0,76.0
35.0,47.5,77.5,56.5,61.0,48.0,58.5,89.5,102.0,90.0,14.0,81.0
34.0,51.5,76.5,61.0,59.0,52.0,56.5,93.5,100.5,95.0,12.0,85.5
33.5,55.5,75.5,64.5,46.0,90.5,56.0,97.0,99.0,99.0,11.5,89.5
33.5,59.0,75.5,68.0,58.0,59.0,56.0,101.0,99.5,102.5,11.0,94.0
34.5,61.5,76.0,70.5,33.0,125.0,56.5,103.5,99.5,105.5,12.0,96.0
35.0,63.5,77.0,72.5,46.0,94.5,56.5,105.5,100.5,107.5,13.0,98.0
36.5,64.5,78.0,73.5,46.5,95.0,58.0,107.0,102.0,109.5,14.5,99.5
37.5,65.0,79.0,73.5,33.0,125.0,59.5,107.5,103.0,110.0,16.0,100.0
39.0,64.5,80.5,73.5,33.0,125.0,61.0,108.0,105.0,110.0,17.0,99.0
40.5,63.5,82.0,73.0,64.0,64.0,62.5,106.0,107.0,108.0,18.5,97.5
40.5,61.5,82.5,70.5,65.0,62.0,62.5,103.5,107.0,106.0,19.5,95.5
41.0,59.0,83.0,68.0,66.0,60.0,63.0,101.0,108.0,103.0,20.0,93.0
41.0,56.0,82.5,65.5,66.0,56.0,63.5,97.5,108.0,100.0,20.0,90.0
41.0,52.0,82.5,61.5,66.0,53.0,63.0,94.0,107.0,96.0,20.0,86.0
40.0,49.0,82.0,58.0,64.5,50.0,62.0,91.0,106.0,92.0,19.0,83.0
38.0,45.5,80.5,55.0,64.0,47.0,61.5,87.5,105.0,89.0,17.0,79.0
36.0,43.0,78.5,52.5,62.0,44.0,59.0,85.0,103.0,86.0,15.0,76.0
33.0,40.5,76.0,50.0,60.5,41.0,57.0,82.5,100.0,83.5,12.0,74.0
32.0,39.0,75.0,49.0,59.0,39.0,55.5,81.5,99.0,82.0,11.0,72.0
31.0,38.0,74.0,48.0,58.0,39.0,55.0,81.0,97.5,81.0,9.0,72.0
30.0,39.0,73.0,48.0,57.0,39.0,54.0,81.0,97.0,81.0,9.0,72.0
30.0,39.0,73.0,49.0,57.0,39.0,54.0,81.0,97.0,82.0,9.0,72.0
31.0,40.0,74.0,50.0,58.0,40.5,55.0,82.0,98.0,83.0,10.0,74.0
33.0,42.0,75.5,51.5,59.5,42.0,56.0,84.0,99.0,85.0,11.0,75.0
