u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
43.0,44.0,86.0,53.0,70.0,44.0,65.5,85.5,110.0,87.0,22.0,77.0
43.0,44.0,86.0,53.0,70.0,44.0,65.5,85.5,111.0,87.0,22.0,77.0
42.0,44.0,85.5,53.5,69.5,44.0,65.5,85.5,110.0,87.0,22.0,77.0
42.0,44.0,84.0,53.5,69.0,44.0,65.0,85.5,109.0,87.0,22.0,77.0
41.5,43.5,83.0,53.0,67.0,44.5,64.0,86.0,108.5,87.0,21.0,77.0
41.0,44.0,83.0,53.0,67.0,44.0,64.5,85.5,107.0,87.0,20.5,76.5
41.0,44.0,82.0,53.0,66.0,44.0,63.0,85.0,107.0,86.5,20.0,77.0
39.5,43.5,82.0,53.0,66.0,45.0,62.0,85.0,106.0,87.0,19.0,77.0
38.0,43.5,81.5,53.5,65.0,44.0,61.5,85.5,105.0,87.0,17.5,77.0
37.0,43.5,80.5,53.5,65.0,44.0,60.0,86.0,104.0,87.0,17.0,77.0
36.5,44.0,78.5,53.5,63.0,44.0,59.0,86.0,103.0,87.0,15.0,78.0
34.5,44.5,78.0,54.0,62.0,44.5,58.0,86.0,102.0,87.0,14.0,77.5
34.0,45.0,76.0,54.0,60.0,45.0,57.0,87.0,100.5,87.5,12.0,78.0
33.0,45.0,76.0,55.0,59.5,45.5,56.0,87.0,99.5,88.0,11.0,78.5
32.0,46.0,74.5,55.0,59.0,46.0,55.0,87.5,98.0,88.0,10.5,79.0
32.0,46.0,74.5,55.5,57.5,46.0,54.5,87.5,98.0,89.0,9.5,79.5
31.0,46.0,74.0,55.0,58.0,46.0,54.0,88.0,97.0,89.5,9.0,80.0
31.0,47.0,74.0,55.5,57.0,45.5,54.0,89.0,97.0,90.0,9.0,80.0
31.0,46.0,74.0,55.5,57.0,46.0,54.0,89.0,96.0,90.0,8.5,81.0
30.0,47.5,72.5,57.5,56.0,48.0,53.0,90.0,96.0,90.5,7.0,82.0
30.0,49.0,72.0,58.0,,,53.0,90.0,95.0,92.0,7.5,82.0
29.0,49.0,72.0,58.5,56.0,47.0,52.5,90.5,95.0,92.0,7.0,82.0
29.0,49.0,72.0,59.0,56.0,47.0,52.0,91.0,95.0,92.0,7.0,83.0
29.5,49.5,72.5,59.5,55.0,50.0,52.5,91.5,95.0,92.0,7.0,83.0
30.0,50.0,72.5,59.5,55.0,50.0,52.5,91.5,95.5,92.5,7.0,83.5
30.0,50.0,72.5,59.5,44.5,88.0,52.5,91.5,95.5,92.5,8.0,83.5
30.0,50.0,72.5,59.5,56.0,51.0,53.0,92.0,96.0,93.0,8.0,84.0
31.0,50.0,73.0,60.0,56.0,51.0,53.5,91.5,96.0,93.0,9.0,84.0
31.0,50.0,73.5,59.5,56.0,51.0,54.0,92.0,97.0,93.0,9.0,83.5
31.5,50.0,74.5,59.5,45.0,87.5,54.5,91.5,97.0,93.0,10.0,83.5
32.5,49.5,74.5,59.5,58.0,50.0,54.5,91.5,98.0,93.0,10.5,83.5
32.5,49.5,75.0,59.0,58.0,50.0,55.0,91.0,98.5,92.0,11.0,83.0
33.5,49.5,75.5,58.5,58.0,50.0,56.0,90.5,99.0,92.0,11.5,82.5
33.5,48.5,76.0,58.0,45.5,87.0,57.0,90.0,99.5,91.5,12.0,82.0
34.0,48.0,76.5,57.5,60.0,49.0,57.0,90.0,100.5,91.5,12.5,81.5
34.5,47.5,77.0,57.0,60.0,48.0,57.5,89.5,100.5,90.5,13.0,81.0
35.0,47.0,77.0,56.0,61.0,48.0,58.0,89.0,101.5,89.5,14.0,80.0
36.0,46.0,78.0,55.5,61.5,46.5,58.5,88.0,102.0,89.0,14.5,79.5
36.0,45.5,78.5,55.0,62.0,46.0,59.0,87.5,102.5,89.0,14.5,79.0
36.5,45.0,78.5,54.5,62.0,46.0,59.0,87.0,103.0,87.5,15.0,78.0
36.5,44.0,79.0,54.0,62.5,45.0,60.0,86.0,103.5,87.0,15.5,77.5
37.0,44.0,78.5,53.5,62.5,44.5,60.0,85.5,104.0,87.0,16.0,77.0
36.5,43.0,79.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,16.0,76.5
37.0,42.0,79.5,52.5,63.0,43.5,60.0,85.0,104.0,86.0,16.0,76.0
37.0,42.0,79.0,51.5,64.0,42.5,60.0,84.0,104.0,85.0,16.0,75.0
37.0,42.0,79.0,51.0,64.0,42.0,60.0,83.5,104.0,85.0,16.0,75.0
37.0,41.0,79.5,51.0,64.0,42.0,60.0,83.5,104.0,84.0,16.0,75.0
36.5,41.0,79.0,51.0,64.0,42.0,60.0,83.5,104.0,84.0,16.0,75.0
36.5,40.5,79.0,51.0,63.5,42.0,60.0,83.5,104.0,84.0,16.0,75.0
36.5,40.5,79.0,51.0,63.0,42.0,60.0,83.5,104.0,84.0,16.0,74.5
36.5,40.5,79.0,51.0,63.0,42.0,60.0,83.5,104.0,84.0,16.0,74.0
36.5,41.0,79.0,51.0,63.0,42.0,60.0,83.5,104.0,84.0,16.0,75.0
36.0,41.5,79.0,51.5,63.5,42.0,60.0,84.0,104.0,85.0,15.5,75.0
36.0,42.0,79.0,52.0,63.0,42.0,60.0,84.0,103.0,85.0,15.5,75.5
36.5,42.5,78.5,52.0,63.0,43.5,60.0,85.0,104.0,86.0,15.5,76.0
36.0,43.0,79.0,53.0,63.0,44.0,60.0,85.0,103.5,86.0,15.0,76.0
36.5,43.5,79.0,53.0,63.0,44.0,60.0,85.5,104.0,87.0,16.0,77.0
37.0,44.0,79.0,54.0,63.5,45.0,60.0,86.0,103.5,87.0,15.5,77.5
37.0,45.0,80.0,54.0,63.5,45.5,60.0,87.0,103.5,87.5,16.0,78.0
37.0,45.5,80.0,55.0,64.0,46.0,60.0,87.0,104.5,88.0,17.0,79.0
38.0,46.0,80.0,55.5,64.0,46.5,60.5,88.0,104.5,89.0,17.0,80.0
