7.14,3.31,23.57
7.14,3.31,23.57
7.279886,3.589086,23.98692
7.419086,3.862711,24.38552
7.55692,4.125521,24.74829
7.692711,4.372373,25.05929
7.825796,4.598435,25.30485
7.955521,4.799286,25.47418
8.081252,4.970995,25.55985
8.202373,5.110201,25.55809
8.31829,5.21418,25.46897
8.428435,5.2809,25.29642
8.53227,5.309052,25.04801
8.629286,5.298086,24.73466
8.719007,5.248218,24.37014
8.800995,5.160423,23.97046
8.874846,5.036419,23.55319
8.940201,4.878632,23.13665
8.996737,4.69015,22.73915
9.044181,4.474661,22.37817
9.082296,4.236382,22.06954
9.110899,3.979976,21.82685
9.129848,3.71046,21.66074
9.139051,3.433108,21.57853
9.138463,3.153346,21.58382
9.128086,2.87665,21.67637
9.107972,2.608433,21.85213
9.078218,2.353945,22.10337
9.038971,2.118165,22.41905
8.990423,1.905707,22.7853
8.932812,1.720729,23.18603
8.866419,1.566849,23.60363
8.79157,1.447078,24.01975
8.708632,1.363762,24.41611
8.618011,1.31853,24.7753
8.520149,1.312266,25.08152
8.415529,1.345095,25.32133
8.304661,1.416372,25.4842
8.188088,1.524704,25.56295
8.066382,1.667972,25.55414
7.940139,1.84337,25.45815
7.809976,2.047467,25.2792
7.676532,2.276269,25.02514
7.54046,2.5253,24.70716
7.402426,2.789685,24.33921
7.263107,3.064252,23.93746
7.123185,3.343628,23.51956
6.983346,3.622346,23.10388
6.844274,3.894951,22.70868
6.706649,4.156111,22.35133
6.571148,4.400714,22.04752
6.438434,4.623973,21.81061
6.309155,4.821521,21.651
6.183945,4.989491,21.57571
6.063419,5.124598,21.58804
5.948165,5.224195,21.68746
5.83875,5.286336,21.86959
5.735707,5.309804,22.12644
5.639543,5.29414,22.44671
5.550728,5.239651,22.81634
5.469697,5.147401,23.21909
5.396849,5.019198,23.63725
5.332537,4.857548,24.05246
5.277078,4.665617,24.44646
5.230744,4.447158,24.80196
5.193762,4.206449,25.10333
5.166312,3.948196,25.33733
5.14853,3.677457,25.49367
5.140501,3.399526,25.56549
5.142266,3.119843,25.54963
5.153816,2.843881,25.44679
5.175095,2.577041,25.26149
5.205997,2.324543,25.00187
5.246372,2.09133,24.67933
5.296022,1.881961,24.30806
5.354704,1.700539,23.90435
5.422132,1.550608,23.48595
5.497972,1.435106,23.07124
5.581855,1.356292,22.67845
5.673369,1.315709,22.32484
5.772068,1.314149,22.02593
5.877466,1.351644,21.79487
5.989049,1.427461,21.6418
6.106269,1.540115,21.57345
6.228553,1.687403,21.59283
6.355299,1.86644,21.69908
6.485891,2.073727,21.88754
6.619685,2.305203,22.14992
6.756028,2.556342,22.4747
6.894251,2.822228,22.8476
7.03368,3.097662,23.25224
7.173628,3.377247,23.67085
7.313412,3.655518,24.08502
7.452345,3.927026,24.47656
7.58975,4.186462,24.82828
7.724951,4.428746,25.1247
7.857288,4.64914,25.35282
7.986111,4.843329,25.5026
8.11079,5.007514,25.56746
8.230714,5.138481,25.54457
8.345296,5.233669,25.43491
8.453973,5.291215,25.24331
8.556215,5.309992,24.97819
8.651521,5.289633,24.6512
8.739423,5.230537,24.2767
8.819491,5.13386,23.87115
8.891334,5.001493,23.45236
8.954597,4.836028,23.03875
9.008974,4.6407,22.64848
9.054195,4.419335,22.2987
9.090041,4.176261,22.00478
9.116336,3.916237,21.77963
9.132951,3.644347,21.63314
9.139805,3.365919,21.57176
9.136863,3.086394,21.59818
9.12414,2.811246,21.71123
9.1017,2.545856,21.90596
