u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
36.5,44.0,78.5,53.5,63.0,44.0,60.0,85.5,103.5,87.0,16.0,77.0
34.0,45.0,77.0,54.0,61.0,46.0,58.0,86.5,101.0,88.0,13.5,78.0
33.0,46.0,75.0,55.5,59.0,46.0,56.0,87.0,98.5,88.5,11.0,79.0
31.0,46.0,74.0,55.0,57.0,46.0,55.0,88.0,97.0,89.0,9.0,80.0
30.0,47.0,73.0,57.0,56.0,47.0,53.0,88.5,96.0,89.5,8.5,80.0
29.0,48.0,71.0,58.0,55.0,48.0,52.0,90.0,95.0,90.0,6.5,82.0
28.0,49.0,70.0,58.0,54.0,49.0,50.5,90.5,93.5,91.0,5.0,83.0
26.5,49.5,70.0,59.0,53.0,50.0,50.0,91.0,92.5,92.0,4.0,83.0
26.0,50.0,69.0,59.0,52.0,50.0,49.5,91.5,92.0,92.5,3.5,84.0
26.5,50.5,69.0,60.0,52.0,50.0,48.5,92.0,92.0,93.0,3.0,85.0
26.0,51.0,69.0,61.0,52.0,51.5,49.0,93.0,92.0,93.5,3.0,85.5
26.5,51.5,69.0,61.0,52.0,52.0,49.5,93.5,92.0,94.0,4.0,86.0
27.0,52.0,70.0,62.0,53.0,52.0,50.0,94.0,93.0,95.0,4.5,86.0
28.5,52.5,71.0,62.0,54.0,52.0,51.0,94.5,94.0,95.0,6.0,87.0
29.0,53.0,71.5,62.0,55.0,52.5,,,95.0,96.0,7.0,87.0
30.5,53.5,73.0,62.5,56.5,53.5,53.5,95.0,,,8.5,87.5
32.5,53.5,74.5,63.0,58.5,53.5,55.0,95.0,,,10.5,87.5
34.5,53.5,76.0,63.0,59.0,53.5,,,,,12.5,87.5
35.5,54.0,,,,,,,101.5,97.5,14.0,88.0
37.0,54.0,,,,,60.5,95.5,103.0,97.5,16.5,87.5
39.0,53.5,82.0,63.0,65.0,54.0,62.0,95.5,106.0,97.5,18.5,87.5
41.0,53.5,83.0,62.0,66.5,53.5,63.0,95.5,108.0,97.5,20.0,87.0
42.5,53.5,84.5,62.5,67.5,53.5,65.0,95.5,110.0,97.5,21.0,87.0
44.5,53.5,86.0,63.0,68.5,54.0,66.5,95.5,111.0,97.5,23.0,87.0
45.5,53.0,87.0,62.0,70.0,54.0,68.0,95.5,113.0,97.5,25.0,86.5
46.0,53.0,88.5,61.5,71.0,54.0,68.5,95.0,113.0,97.0,26.0,86.0
46.0,52.0,89.0,61.5,72.0,54.0,70.0,95.0,115.0,97.0,27.0,86.0
47.0,52.0,89.5,61.5,72.0,53.0,70.5,94.0,116.0,96.5,27.0,85.5
47.5,51.5,90.0,61.0,73.0,52.0,70.5,93.5,116.0,96.0,27.0,85.0
48.0,51.0,90.0,60.0,73.0,52.0,70.5,93.5,116.0,95.0,27.0,84.0
47.0,50.0,89.5,59.5,73.0,51.0,70.0,92.0,116.0,94.5,27.0,84.0
46.0,50.0,89.0,59.0,72.0,51.0,69.5,91.5,115.0,94.0,26.0,83.0
46.0,49.0,88.0,58.0,71.0,50.0,68.5,91.0,113.0,93.0,25.0,82.0
44.0,48.0,87.0,57.5,70.0,49.0,67.0,90.0,112.5,92.5,24.0,81.5
42.0,47.0,85.0,57.0,69.0,48.0,65.5,89.5,111.0,91.0,22.0,80.0
41.0,46.5,83.0,56.0,67.0,47.0,64.0,89.0,108.0,90.0,20.0,80.0
40.0,46.0,82.0,55.0,66.0,46.0,62.0,87.0,106.0,89.0,18.5,79.0
36.5,44.5,80.0,54.0,64.0,45.0,60.0,87.0,105.0,88.0,16.0,78.0
