u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
36.5,44.0,78.5,53.5,63.0,44.0,60.0,85.5,103.5,87.0,16.0,77.0
36.0,45.5,78.5,55.5,62.0,46.0,58.5,87.5,102.5,87.5,14.5,79.0
34.5,47.0,77.5,56.0,60.5,47.5,58.0,88.0,101.0,90.0,14.0,80.5
34.0,48.0,76.5,57.5,60.0,48.0,56.5,90.5,100.5,91.5,12.5,82.0
33.5,49.5,76.0,59.5,32.0,125.0,56.0,91.0,100.0,93.0,11.5,83.0
32.5,50.5,75.0,60.0,58.0,51.0,56.0,92.0,98.5,93.5,10.5,84.5
32.0,51.5,74.0,61.0,58.0,52.0,54.5,93.5,98.0,94.5,10.0,85.5
31.5,52.5,74.0,62.0,57.0,53.0,54.0,94.5,97.0,95.5,9.0,86.5
30.5,53.5,73.0,63.0,56.0,54.0,53.0,95.0,96.0,96.0,8.5,87.5
30.0,54.0,72.5,63.5,44.5,89.5,52.0,96.0,,,8.0,88.0
29.5,55.0,72.0,63.5,55.0,55.0,,,94.5,97.5,7.0,89.0
28.5,55.5,72.0,64.0,54.5,55.0,51.0,97.0,94.5,97.5,6.0,89.0
28.0,55.0,,,54.0,55.0,50.5,97.5,94.0,98.0,5.0,90.0
27.5,55.5,,,53.0,55.0,50.5,97.5,93.0,98.0,4.0,90.0
27.0,55.0,,,53.0,55.0,50.0,97.0,92.5,98.0,3.5,89.5
26.0,55.0,69.0,64.0,52.0,55.0,49.0,97.0,92.5,97.5,3.0,89.5
26.0,54.0,68.5,63.5,52.0,54.0,48.5,96.5,92.0,97.0,2.0,89.5
24.5,53.5,68.0,63.0,52.0,54.0,48.5,95.5,91.5,97.0,1.0,88.0
24.0,52.5,68.0,61.5,33.0,125.0,,,91.0,96.0,1.0,87.5
24.0,51.0,67.0,61.0,51.0,50.5,47.0,93.0,91.0,93.0,0.0,86.0
23.0,49.0,66.0,59.0,51.0,50.0,47.0,92.0,90.0,92.0,0.5,84.0
22.0,47.0,67.0,58.0,50.0,48.0,47.0,90.0,90.0,90.0,0.5,82.0
22.0,46.0,66.0,55.0,50.0,46.0,46.0,88.0,90.0,89.0,1.0,80.0
22.0,43.0,66.0,53.0,50.0,44.0,46.0,86.0,89.5,86.5,0.0,78.0
22.0,42.0,66.0,51.0,50.0,42.0,47.0,84.0,90.0,84.0,0.5,75.0
22.0,40.0,67.0,50.0,51.0,41.0,47.0,82.5,89.5,82.5,1.0,74.0
22.5,38.0,67.0,49.0,51.0,38.0,48.0,81.0,90.0,81.0,1.0,72.0
23.5,36.5,67.0,46.5,51.0,37.0,48.0,79.0,90.0,79.0,1.0,70.0
23.5,34.5,67.5,45.5,52.0,35.0,48.0,77.0,91.0,78.0,1.5,68.5
24.0,34.0,67.5,44.5,52.0,34.5,49.0,76.0,91.0,77.0,2.0,67.0
25.0,33.0,68.0,43.0,52.0,33.5,49.5,75.5,91.5,76.0,3.0,66.0
25.0,32.0,68.5,42.5,53.0,33.0,50.0,75.0,92.0,75.0,3.0,66.0
25.0,32.0,69.0,43.0,53.0,33.0,50.0,75.0,92.5,74.5,4.0,65.5
26.0,31.0,70.0,42.5,53.5,32.5,50.5,74.5,93.0,74.0,5.0,65.0
