u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
40.0,43.0,82.0,52.0,66.0,44.0,63.0,85.0,106.0,86.0,19.0,76.0
39.0,43.0,82.0,52.0,66.0,43.0,62.5,85.0,106.0,86.0,19.0,76.0
38.5,43.0,81.0,52.5,65.0,43.0,62.0,85.0,106.0,86.0,18.0,76.0
38.0,43.0,81.0,52.0,65.0,43.0,61.5,85.0,106.0,86.0,18.0,76.0
37.0,43.0,80.5,52.5,64.5,43.5,61.5,85.0,105.5,86.0,17.5,76.0
37.0,42.5,80.0,52.0,64.0,43.5,60.5,85.0,105.0,86.0,16.5,76.0
36.5,42.5,79.0,52.5,63.5,43.0,60.0,85.0,104.0,86.0,16.0,76.0
36.0,42.5,79.0,52.0,63.0,43.0,60.0,85.0,104.0,86.0,15.0,76.0
36.0,42.0,78.5,52.0,63.0,43.5,59.0,85.0,104.0,86.0,15.0,76.0
35.0,43.0,78.0,52.0,62.5,43.5,58.5,85.0,103.0,86.0,14.0,76.0
35.0,42.5,78.0,52.0,62.0,43.0,58.0,85.0,102.0,86.0,13.5,76.0
34.0,43.0,77.0,52.0,61.5,43.0,58.0,85.0,101.5,85.5,13.0,76.0
33.5,42.5,77.0,52.0,61.0,43.0,57.0,85.0,101.0,85.5,13.0,76.0
33.0,42.5,76.0,52.0,60.5,43.0,57.0,85.0,100.5,85.5,12.0,76.0
33.0,42.0,75.0,52.0,60.0,43.0,57.0,85.0,99.5,85.5,11.0,76.0
33.0,42.5,75.0,52.0,60.0,43.0,56.0,85.0,99.5,85.5,11.0,76.0
32.0,42.0,75.0,52.0,59.0,43.0,56.0,85.0,99.0,86.0,11.0,76.0
32.0,42.5,75.0,52.0,59.0,43.0,55.0,84.5,99.0,85.0,11.0,76.0
32.0,43.0,75.0,52.0,58.0,43.0,55.0,84.5,98.0,85.0,10.0,76.0
31.5,42.5,74.0,52.0,58.0,43.0,55.0,84.0,98.0,85.0,10.0,76.0
31.5,42.5,74.0,52.5,58.0,43.0,55.0,84.0,98.0,85.0,9.5,76.0
31.5,42.5,74.0,52.0,58.0,43.0,55.0,84.5,98.0,85.0,9.0,76.0
31.0,42.0,74.0,52.5,57.5,43.0,54.5,84.5,97.0,85.0,9.0,76.0
31.0,42.0,73.5,52.5,57.0,43.0,54.0,84.5,97.0,85.0,9.0,76.0
31.0,43.0,73.5,52.5,57.0,43.0,54.0,85.0,97.0,85.0,9.0,76.0
31.0,43.0,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,76.0
31.0,43.0,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,76.0
31.0,43.0,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,76.0
30.5,42.5,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,76.0
31.0,43.0,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,76.0
30.5,42.5,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,76.0
31.0,43.0,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,75.5
31.0,43.0,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,75.5
31.0,43.0,73.0,52.0,57.0,43.0,54.0,85.0,97.0,85.0,9.0,75.5
31.0,42.0,73.0,52.0,57.0,43.0,54.0,84.0,97.0,85.0,9.0,75.5
31.0,42.0,73.0,52.0,57.0,43.0,54.0,84.0,97.0,85.0,9.0,75.0
31.0,42.0,73.0,52.0,57.0,42.0,54.0,84.0,97.0,84.5,9.0,75.0
31.0,42.0,74.0,52.0,58.0,42.0,54.0,84.0,97.0,84.5,10.0,75.0
31.0,42.0,74.0,52.0,58.0,42.0,55.0,84.0,97.0,84.0,10.0,75.0
31.0,42.0,74.0,52.0,58.0,42.0,55.0,84.0,97.0,84.0,10.0,75.0
32.0,42.0,74.0,52.0,58.0,43.0,55.0,84.0,98.0,85.0,10.0,75.0
32.0,42.0,74.0,52.0,58.0,43.0,55.0,84.0,98.0,85.0,10.0,75.0
32.0,42.0,75.0,52.0,58.5,42.0,55.0,84.0,98.5,84.5,11.0,75.0
32.5,42.0,75.0,51.0,58.5,42.0,56.0,84.0,99.0,84.5,11.5,75.0
33.0,42.0,75.5,51.5,59.0,42.0,56.0,84.0,99.0,84.0,12.0,75.0
33.0,42.0,75.5,51.5,59.5,41.5,56.0,84.0,99.0,84.0,12.0,75.0
33.5,41.5,76.0,52.0,60.0,42.0,56.0,83.0,99.0,84.0,12.0,75.0
33.5,41.5,76.0,51.0,60.0,42.0,56.5,83.5,100.0,84.0,12.0,75.0
34.0,41.5,77.0,51.0,61.0,42.0,57.0,83.5,100.5,84.0,13.0,75.0
34.5,41.5,77.0,51.5,61.0,42.0,57.5,83.5,101.0,84.0,13.5,75.0
35.0,41.5,77.5,51.5,62.0,42.0,58.5,83.5,101.0,84.0,14.0,75.0
35.5,41.5,78.0,51.5,62.0,42.0,58.5,83.5,102.0,84.0,14.0,75.0
36.0,42.0,78.0,51.0,62.0,42.0,59.0,83.5,102.5,84.0,15.0,74.5
36.0,42.0,78.5,51.0,62.0,42.0,59.0,83.5,102.5,84.0,15.0,74.0
37.0,42.0,79.0,51.0,63.0,42.0,60.0,83.5,103.0,84.0,16.0,74.5
37.0,42.0,79.0,51.0,63.0,42.0,60.0,83.0,104.0,84.0,16.5,74.5
38.0,42.0,80.0,51.0,64.0,42.0,61.0,84.0,104.0,84.0,16.5,74.5
38.0,42.0,80.0,51.0,64.0,42.0,61.0,84.0,104.5,84.0,17.0,74.0
38.0,41.5,80.5,51.0,65.0,42.0,61.5,83.5,105.0,84.0,18.0,74.0
39.0,41.0,81.0,51.0,65.0,42.0,62.0,83.0,105.0,84.0,18.0,74.0
39.0,42.0,82.0,51.0,65.0,42.0,62.5,83.0,106.0,84.0,19.0,74.0
39.0,42.0,82.0,51.0,65.0,42.0,63.0,83.0,106.0,84.0,19.0,74.0
40.0,41.0,82.0,51.0,66.0,42.0,63.0,83.0,106.0,85.0,19.5,74.5
40.0,41.0,82.5,50.5,66.0,42.5,63.0,83.0,106.5,84.5,20.0,74.5
41.0,41.0,82.5,50.5,66.0,43.0,63.0,83.0,107.0,84.0,20.0,74.5
40.5,41.0,82.5,50.5,66.0,42.0,63.0,83.0,107.0,84.0,20.0,75.0
40.5,41.0,83.0,51.0,66.5,42.0,63.0,83.0,107.0,84.0,20.0,75.0
41.0,41.0,83.0,50.5,67.0,42.0,64.0,83.0,107.0,84.0,20.5,74.5
41.0,41.0,83.0,51.0,67.0,42.0,64.0,83.0,107.0,84.0,21.0,74.0
41.0,41.0,83.5,50.5,67.0,42.0,64.0,83.0,108.0,84.0,21.0,74.0
41.0,41.0,83.5,50.5,67.0,42.0,64.0,83.0,108.0,84.0,21.0,74.0
41.0,41.0,83.5,50.5,67.0,42.0,64.0,83.0,109.0,84.0,21.0,74.0
41.0,41.0,84.0,51.0,68.0,41.5,64.5,83.0,109.0,84.0,21.0,74.0
41.0,41.0,84.0,50.5,69.0,42.0,64.5,83.0,109.5,84.0,21.0,74.0
