u0,v0
10.0,52.0
10.0,52.0
10.0,52.0
10.0,52.0
10.0,52.0
10.0,52.0
10.0,51.5
10.0,51.0
10.0,51.0
10.0,51.0
12.5,85.0
10.0,50.0
10.0,49.0
10.0,48.0
9.5,47.5
9.0,46.5
8.5,45.5
8.5,45.0
9.0,44.0
9.0,43.0
9.0,42.0
7.5,41.0
8.0,40.0
7.0,39.0
7.0,38.0
7.0,37.0
7.0,36.0
7.0,35.0
7.0,34.0
6.5,32.5
6.5,31.5
6.5,30.0
6.0,30.0
6.0,28.0
5.0,27.0
5.0,26.0
5.0,25.0
5.0,25.0
5.0,24.0
4.5,23.0
4.5,22.5
4.5,22.0
4.0,21.0
4.0,21.0
3.5,20.5
4.0,20.0
4.0,20.0
4.0,20.0
4.0,20.0
4.0,20.0
4.0,20.0
4.0,20.0
4.0,20.0
3.0,20.0
4.0,21.0
4.0,21.0
4.0,21.5
4.0,22.0
5.0,23.0
5.0,24.0
5.0,24.0
5.0,25.0
5.0,26.0
5.0,27.0
6.0,28.0
6.0,29.0
6.0,30.0
6.0,31.0
6.5,32.0
6.0,33.0
6.5,34.0
6.5,35.5
6.0,36.0
7.0,37.5
7.0,38.0
7.0,39.0
7.5,40.5
7.5,41.5
8.0,42.5
8.0,43.0
8.5,44.5
8.0,45.0
8.5,46.0
8.5,47.0
8.5,47.5
9.0,48.0
9.0,49.0
9.5,49.5
9.5,50.0
9.0,50.0
9.0,51.0
9.0,51.0
9.5,51.5
9.5,51.5
9.5,51.5
9.5,51.5
9.5,51.5
9.5,51.5
9.5,51.5
9.5,51.5
9.5,51.5
9.0,51.0
9.0,51.0
9.5,50.5
9.0,50.0
10.0,50.0
9.5,49.0
9.0,48.0
9.0,47.5
9.0,47.0
9.0,46.0
8.5,45.0
8.5,44.0
8.5,43.0
8.0,43.0
8.0,42.0
8.0,40.5
8.0,40.0
8.0,39.0
7.0,37.0
7.0,36.0
7.0,35.0
7.0,34.0
7.0,33.0
7.0,32.0
7.0,31.0
6.0,29.5
6.0,29.0
6.0,28.0
5.0,27.0
6.0,26.0
5.0,25.0
5.0,24.0
5.0,23.0
5.0,23.0
5.0,22.0
5.0,21.0
4.5,21.0
5.0,21.0
5.0,20.0
4.5,20.0
4.0,20.0
4.0,20.0
5.0,20.0
5.0,20.0
4.0,20.0
4.5,20.0
5.5,20.0
5.0,21.0
5.0,21.0
5.0,21.0
5.5,22.0
5.0,22.0
5.0,23.0
6.0,24.0
6.0,25.0
6.0,26.0
6.0,27.0
6.0,28.0
6.0,29.0
7.0,30.0
6.5,31.0
7.0,32.0
7.0,33.0
7.0,34.0
8.0,36.0
8.0,37.0
9.0,38.0
9.0,39.0
9.0,40.0
9.0,41.0
8.5,41.5
9.0,43.0
9.0,44.0
9.0,44.5
9.5,45.5
9.5,46.5
10.0,47.0
10.0,48.0
10.0,49.0
10.5,49.5
10.5,50.5
11.0,51.0
10.5,51.5
11.0,51.0
11.0,52.0
10.5,52.0
11.0,53.0
11.0,53.0
11.0,53.0
11.0,53.0
11.0,53.0
11.0,53.0
11.0,53.0
11.5,52.5
11.0,52.0
11.0,52.0
11.0,51.5
11.0,51.0
11.0,51.0
11.0,50.0
11.0,50.0
11.0,49.0
11.0,48.0
11.0,47.0
10.5,46.5
10.5,45.5
10.5,44.5
10.5,43.5
10.0,42.0
9.5,41.5
9.5,40.5
9.5,39.5
9.0,38.0
9.5,37.0
9.0,35.0
10.0,34.0
9.5,33.5
9.0,32.0
8.0,31.0
8.5,30.0
8.0,29.0
8.0,28.0
8.5,27.0
8.0,26.0
8.0,25.0
8.0,24.0
8.0,23.0
7.5,22.5
8.0,22.0
7.0,21.0
7.5,20.5
7.5,20.5
8.0,20.0
8.0,20.0
7.0,19.0
7.0,19.0
7.0,19.0
7.0,19.0
7.0,19.0
7.0,19.0
8.0,20.0
8.0,20.0
8.0,20.0
7.5,20.5
8.0,22.0
8.0,22.0
8.5,23.0
8.0,24.0
9.0,25.0
9.0,26.0
9.0,27.0
9.5,27.5
10.0,29.0
10.0,30.0
10.0,31.0
10.5,32.0
11.0,33.0
11.0,34.0
11.0,36.0
11.0,37.0
11.5,38.0
11.5,39.5
11.5,40.5
12.0,42.0
12.0,43.0
12.5,44.0
13.0,45.5
13.0,46.0
13.0,47.0
13.5,48.5
13.5,49.5
14.0,50.0
14.0,51.0
14.0,52.0
14.5,52.0
14.5,53.0
14.5,53.5
15.0,54.0
15.0,55.0
15.0,55.0
15.0,55.0
15.0,55.5
15.0,55.5
15.0,55.5
15.0,56.0
15.0,56.0
15.0,55.5
15.0,55.5
15.0,55.5
15.0,55.0
15.0,55.0
15.0,54.0
15.0,54.0
15.0,53.0
15.0,52.0
15.0,51.5
15.0,50.5
15.0,49.5
15.0,49.0
15.0,48.0
14.5,46.5
14.5,45.5
14.5,44.5
14.5,43.5
14.0,42.0
14.0,41.0
14.0,39.5
14.0,38.0
14.0,37.0
14.0,36.0
13.0,35.0
13.0,34.0
13.0,32.0
13.0,31.0
14.0,31.0
13.0,29.0
13.0,28.0
13.0,27.0
13.0,26.0
13.0,24.0
13.0,23.0
13.0,23.0
13.0,22.0
13.0,21.0
13.0,21.0
13.0,20.0
12.5,19.5
12.5,19.0
12.0,19.0
12.0,19.0
13.0,19.0
13.0,19.0
13.5,18.5
13.5,18.5
13.5,18.5
13.0,19.5
13.5,20.5
13.5,20.5
14.0,21.0
14.0,22.0
14.0,22.0
14.0,24.0
15.0,24.5
15.0,25.0
15.0,27.0
15.0,28.0
15.5,29.0
15.5,30.5
16.0,32.0
16.0,33.0
17.0,34.0
17.0,35.5
17.0,37.0
17.0,39.0
18.0,40.0
18.0,41.0
18.0,42.0
19.0,44.0
19.0,45.5
19.0,46.5
19.0,48.0
20.0,49.0
20.0,50.0
20.0,51.0
20.0,52.0
20.5,53.5
21.0,54.0
21.0,55.5
21.0,56.0
22.0,57.0
22.0,57.0
21.0,59.0
21.5,59.0
21.5,59.5
22.0,60.0
22.0,60.0
22.0,60.0
23.0,60.0
23.0,60.0
23.0,60.0
23.0,61.0
23.0,60.0
23.0,60.0
23.0,60.0
23.0,59.0
23.0,59.0
23.0,59.0
23.0,58.0
23.0,57.0
23.0,56.0
23.0,55.0
23.0,54.0
23.0,53.0
23.0,52.0
23.0,51.0
23.0,50.0
23.0,48.0
23.0,47.0
23.0,46.0
23.0,44.0
23.0,43.0
23.0,41.5
22.5,40.0
22.5,38.5
22.0,37.0
22.5,35.0
22.0,34.0
22.0,33.0
23.0,31.0
22.0,30.0
22.0,29.0
22.0,28.0
22.0,27.0
22.0,25.0
22.0,24.0
21.5,22.5
22.0,22.0
22.0,21.0
22.0,20.0
22.0,19.0
22.0,19.0
22.0,18.5
23.0,18.0
22.0,17.0
22.5,17.5
23.0,17.5
23.0,18.0
23.0,18.0
23.0,18.0
23.0,18.0
24.0,19.0
24.0,19.0
24.0,20.5
24.0,21.0
25.0,22.0
25.0,23.0
25.0,24.0
25.0,26.0
25.5,26.5
26.0,28.5
26.0,30.0
26.5,32.0
27.0,33.0
27.5,34.5
28.0,36.0
28.0,38.0
28.5,39.5
29.0,41.0
29.0,43.0
29.5,44.5
30.0,46.0
30.0,48.0
30.5,49.5
31.0,51.0
31.0,53.0
31.0,54.0
32.0,56.0
32.0,57.0
32.0,58.0
32.0,60.0
33.0,61.0
33.5,62.5
