u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
56.5,66.0,78.0,66.0,102.0,66.0,78.5,87.5,78.0,44.0
56.5,66.0,78.0,66.0,102.0,66.0,78.5,87.5,78.0,44.0
56.5,66.0,78.0,65.5,101.0,66.0,78.0,87.0,78.0,43.5
56.5,65.5,78.0,66.0,100.0,66.0,78.0,87.0,77.5,43.5
55.5,65.5,77.0,66.0,100.0,65.5,78.0,87.0,77.0,43.0
55.5,65.5,77.5,65.5,99.5,65.5,77.0,87.0,77.0,43.0
54.0,65.5,76.5,65.5,99.0,65.0,76.5,86.5,76.0,43.0
54.0,66.0,76.0,65.0,99.0,65.0,76.0,87.0,76.0,43.0
53.0,66.0,76.0,65.0,97.5,65.5,75.5,87.5,75.0,43.0
52.5,65.5,74.5,65.5,97.5,65.5,74.5,86.5,74.5,42.5
52.0,65.0,73.5,65.5,97.0,65.5,74.0,87.0,74.0,43.0
50.5,65.0,72.5,65.5,95.5,65.5,73.0,87.0,73.0,43.0
50.0,65.0,72.5,65.5,94.5,65.5,72.5,87.5,72.0,43.0
49.0,65.0,71.0,66.0,93.0,65.0,71.0,87.0,71.0,42.5
48.5,65.5,70.0,65.0,92.5,65.5,70.5,86.5,70.0,43.0
47.5,65.5,69.0,65.0,91.5,65.5,68.0,87.0,69.0,43.0
46.5,65.5,68.5,65.5,90.5,65.5,68.5,87.5,68.0,43.0
46.0,65.0,67.0,65.0,90.0,65.5,68.0,87.0,67.0,43.0
44.0,66.0,66.0,66.0,89.0,66.0,66.0,87.5,66.5,43.5
42.0,66.0,65.0,65.0,88.0,66.0,64.0,88.0,65.0,44.0
42.0,66.0,64.0,66.5,86.0,66.0,64.0,87.5,64.0,44.5
41.5,66.5,63.0,66.0,85.0,66.5,63.0,88.0,63.0,45.0
41.0,67.0,62.5,66.5,84.5,66.5,63.0,88.5,63.0,45.0
40.0,67.0,62.0,67.5,84.0,67.5,62.5,89.0,62.0,45.5
38.5,67.5,61.0,68.0,83.5,67.5,61.0,89.0,61.0,45.5
38.0,68.0,60.0,68.0,82.0,68.0,60.0,90.0,60.0,46.0
36.5,68.5,59.0,68.5,80.5,68.5,59.0,91.0,58.5,46.5
36.0,69.0,58.5,69.0,80.0,69.0,58.0,91.0,58.5,47.5
35.5,69.5,57.5,69.5,79.5,69.5,57.5,91.5,57.5,47.5
34.5,69.5,57.0,70.0,78.5,69.5,56.5,91.5,57.0,48.0
34.0,70.5,56.0,70.0,78.0,70.0,56.0,92.0,56.5,48.5
33.5,71.0,56.0,70.5,77.5,71.0,55.5,93.0,55.5,49.0
32.5,71.5,55.0,71.0,77.0,71.0,54.5,93.5,55.0,49.0
32.5,71.5,54.5,71.5,76.5,71.5,54.5,93.5,55.0,50.0
32.5,72.0,54.5,71.5,76.0,72.0,54.0,94.0,54.0,50.0
32.0,72.5,54.0,72.0,76.0,72.0,54.0,94.5,54.0,51.0
31.5,73.0,54.0,73.0,75.5,73.0,53.5,95.0,54.0,51.0
31.0,73.5,53.5,73.0,75.0,73.5,53.0,95.5,53.5,51.5
31.0,74.0,53.5,74.0,75.0,73.5,53.0,95.5,53.5,52.0
31.0,74.0,53.0,74.0,74.5,74.0,52.5,96.0,53.0,52.0
31.0,75.0,53.0,74.0,74.5,74.0,53.0,96.0,53.0,53.0
30.5,75.0,53.0,75.0,74.5,75.0,52.5,97.0,53.0,53.0
30.5,75.5,53.0,75.0,74.5,75.0,52.5,97.5,53.0,53.5
31.0,76.0,53.0,75.0,74.5,75.5,52.5,97.5,53.0,53.5
31.0,76.0,53.0,75.5,74.5,75.5,52.5,97.5,53.0,54.0
31.0,76.0,53.0,76.0,74.5,76.0,53.0,98.0,53.0,54.0
31.0,76.5,53.5,76.0,75.0,76.0,53.0,98.5,53.0,54.5
