u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
37.0,65.0,60.0,65.0,82.0,65.0,60.0,87.0,60.0,43.0
36.0,65.0,59.0,65.0,81.0,66.0,58.5,87.5,59.0,43.0
36.0,65.0,58.0,65.0,80.5,65.0,58.0,87.0,58.0,43.0
35.0,65.0,58.0,65.0,80.0,65.0,57.0,87.0,57.0,43.0
34.5,64.5,57.0,65.0,79.5,65.0,57.0,87.0,56.0,43.0
34.0,65.0,56.0,65.0,78.0,65.0,56.0,87.0,56.5,42.5
34.0,65.0,56.0,65.0,78.0,64.5,56.0,87.0,56.5,42.5
33.5,64.5,56.0,64.5,78.0,64.5,56.0,87.0,56.0,42.0
33.0,64.5,56.0,64.5,78.0,65.0,55.0,87.0,55.0,43.0
33.0,64.0,56.0,64.0,77.0,65.0,55.0,86.0,54.5,43.0
33.0,64.5,55.0,64.0,77.0,64.0,55.0,86.5,54.0,43.0
32.5,64.5,55.0,64.0,77.0,64.0,54.5,86.5,55.0,43.0
32.5,64.5,55.0,65.0,77.0,64.0,54.5,86.5,54.5,42.5
32.5,64.5,55.0,65.0,77.0,64.0,54.5,86.5,54.0,43.0
32.5,64.5,55.0,64.5,77.0,64.0,54.5,86.5,54.0,43.0
32.5,64.5,55.0,64.5,77.0,64.0,54.5,86.5,54.0,43.0
32.5,64.5,55.0,64.5,77.0,64.0,54.5,86.5,54.0,43.0
33.0,64.0,55.0,64.5,77.0,64.0,54.5,86.5,55.0,42.0
33.0,64.0,55.0,64.0,77.0,64.0,55.0,86.0,55.0,42.0
33.0,64.0,55.0,64.0,77.0,64.0,55.0,86.0,55.0,42.0
33.0,64.0,55.0,64.0,77.0,64.0,54.5,86.0,55.0,43.0
33.0,64.0,55.5,64.0,76.5,64.0,54.5,86.0,55.0,42.0
33.0,64.0,56.0,64.0,77.0,64.0,55.0,85.0,55.0,42.0
34.0,64.0,56.0,64.0,78.0,64.0,55.5,85.5,56.0,42.0
34.0,64.0,56.0,64.0,78.0,64.0,56.0,86.0,56.0,42.0
34.5,64.0,57.0,63.5,79.0,64.0,57.0,85.5,56.5,42.0
35.0,64.0,57.5,63.5,79.5,63.5,57.5,85.5,57.0,42.0
36.0,64.0,58.0,63.5,80.0,63.5,58.0,85.0,58.0,42.0
36.0,64.0,58.5,63.5,80.5,63.5,58.5,85.5,58.0,42.0
37.0,63.5,59.0,63.0,81.0,64.0,59.0,85.0,59.0,42.0
38.0,63.5,60.0,63.5,82.0,63.5,60.0,86.0,60.0,42.0
38.5,63.5,60.5,63.5,82.5,63.5,60.5,85.5,60.0,42.0
39.0,64.0,61.0,63.5,83.0,64.0,61.0,86.0,61.0,41.5
40.0,63.5,62.0,63.5,84.0,63.5,62.0,85.5,62.0,42.0
