u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
41.0,63.5,63.0,63.0,85.0,63.0,63.0,85.0,62.5,41.5
41.0,63.0,63.0,63.0,85.0,63.0,63.0,85.0,62.0,42.0
40.5,63.0,63.0,63.0,85.0,63.0,63.0,85.0,62.0,42.0
40.0,63.0,63.0,63.0,85.0,63.0,63.0,85.0,62.0,42.0
40.0,63.0,62.5,63.0,85.0,63.0,63.0,85.0,62.0,41.5
39.5,63.0,62.0,63.5,84.0,63.0,62.0,85.0,62.0,41.0
39.0,63.0,62.0,63.0,84.0,63.0,62.0,85.0,62.0,41.0
39.0,63.0,61.5,63.0,83.5,63.0,62.0,85.0,61.5,41.0
38.5,63.0,61.0,63.0,83.5,63.0,61.0,85.0,61.0,41.0
38.5,63.0,61.0,63.0,83.5,63.0,61.0,85.0,61.0,41.0
38.5,63.0,61.0,63.0,83.0,63.0,61.0,85.0,60.5,41.0
38.5,63.0,60.5,63.0,83.0,63.0,60.5,85.0,60.0,42.0
38.5,63.0,60.5,63.0,82.5,63.0,60.5,85.0,60.0,42.0
38.5,63.0,60.5,63.0,82.5,63.0,60.5,85.0,60.0,41.0
38.0,63.0,60.5,63.0,82.5,63.0,60.0,85.0,60.0,41.0
38.0,62.0,60.5,63.0,82.5,63.0,60.0,84.5,60.0,41.0
38.0,62.5,60.5,63.0,82.5,63.0,60.0,84.0,60.0,41.0
38.5,62.0,60.5,62.0,83.0,63.0,60.0,84.0,60.0,41.0
38.5,62.0,60.5,62.0,83.0,62.0,60.0,84.0,60.0,41.0
38.5,62.0,60.5,62.0,82.5,62.0,60.0,84.0,60.0,41.0
38.5,62.0,60.5,62.0,82.5,62.0,60.5,84.0,51.5,112.0
38.5,62.0,60.5,62.0,82.5,62.0,61.0,84.0,56.0,76.5
38.5,62.0,60.5,62.0,82.5,62.0,61.0,84.0,56.0,76.5
39.0,62.0,61.0,62.0,83.0,62.0,61.0,84.0,55.5,76.5
39.0,62.0,61.5,62.0,83.5,62.0,61.0,84.0,60.0,41.0
39.0,62.0,62.0,62.0,84.0,62.0,61.5,83.5,60.0,41.0
40.0,61.0,62.5,62.0,84.0,62.0,62.0,84.0,61.0,40.0
40.0,61.0,63.0,62.0,84.0,62.0,62.0,83.5,61.5,40.5
40.0,61.5,63.0,62.0,85.0,62.0,63.0,84.0,62.0,41.5
40.5,61.5,63.0,62.0,84.5,62.5,63.0,84.0,57.0,77.0
41.0,62.0,63.0,62.0,85.0,62.0,63.0,84.0,57.0,77.0
41.0,62.0,63.0,62.0,85.0,62.0,63.0,84.0,62.0,42.0
41.0,61.0,63.0,62.0,85.0,62.0,63.0,84.0,62.5,40.0
42.0,62.0,63.0,62.0,85.0,62.0,63.0,83.5,62.5,40.0
