u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
42.0,66.0,64.5,66.0,88.0,66.0,65.0,88.0,64.0,44.0
42.0,66.0,64.5,65.5,88.0,66.0,65.0,88.0,65.5,43.5
42.0,65.0,64.5,65.5,88.0,65.0,64.5,87.5,64.5,43.5
42.0,65.0,64.0,65.0,89.0,65.5,64.0,87.0,64.0,42.0
42.0,65.0,64.0,65.0,,,64.5,87.0,64.0,42.0
42.0,65.0,64.0,65.0,,,65.0,87.0,65.0,42.0
42.0,65.0,64.0,65.0,,,64.5,86.5,64.5,42.0
42.0,65.0,64.0,65.0,,,64.0,87.0,64.5,42.5
42.0,65.0,64.0,65.0,,,64.0,87.0,64.5,42.5
42.0,65.0,64.5,64.5,89.0,64.0,65.0,86.0,64.0,42.0
42.0,64.5,65.0,65.0,89.0,65.0,65.0,87.0,66.0,42.0
44.5,65.0,66.5,64.5,89.0,65.0,67.0,87.0,67.0,42.0
45.0,65.0,67.0,64.0,89.0,65.0,67.0,87.0,67.0,42.0
44.5,65.0,67.0,64.0,89.0,65.0,67.0,87.0,67.0,42.0
44.5,65.0,67.0,64.5,89.0,65.0,67.0,87.0,67.0,42.0
44.5,65.0,67.0,65.0,89.0,65.0,66.5,87.0,67.0,42.0
45.0,65.5,67.0,65.0,89.0,65.0,66.5,87.5,66.5,43.0
45.0,65.5,67.0,65.0,89.0,65.0,66.5,87.5,66.5,43.5
45.0,65.5,67.0,65.0,88.5,65.5,66.5,87.5,66.5,43.5
44.0,65.5,66.5,65.5,88.5,65.5,66.0,87.0,66.5,43.5
45.0,65.5,66.5,65.5,89.0,65.0,66.5,87.5,67.0,43.0
46.0,64.0,67.0,64.0,89.0,64.0,67.0,86.0,67.0,42.0
45.5,63.5,67.5,63.5,90.0,63.5,67.0,85.0,67.5,41.5
46.0,63.0,68.0,63.0,90.0,63.0,68.0,85.0,68.0,41.0
46.0,63.0,68.0,63.0,90.0,63.0,68.0,85.0,68.0,40.0
46.0,63.0,68.5,63.0,91.0,63.0,68.0,85.0,68.0,41.0
47.5,63.5,69.0,63.0,92.0,63.0,69.0,85.5,69.0,42.0
46.0,64.0,69.0,63.0,91.0,64.0,68.5,86.0,68.5,42.0
46.0,64.0,69.0,63.0,90.5,64.0,68.0,86.0,68.0,42.5
46.0,65.0,69.0,64.0,90.0,65.0,68.0,87.0,68.0,43.0
46.5,64.5,68.5,64.0,90.5,64.5,68.0,87.0,68.0,42.5
46.5,64.5,68.5,64.0,90.5,64.5,68.5,86.5,68.0,42.5
46.0,64.0,69.0,64.0,91.0,63.5,69.0,86.0,69.0,42.0
46.0,64.0,69.0,64.0,92.0,64.0,69.0,86.0,69.5,42.0
46.0,64.0,69.0,64.0,92.0,64.0,69.0,86.0,69.5,42.0
47.0,65.0,69.0,64.0,93.0,64.0,69.0,86.0,69.0,42.0
48.0,65.0,71.0,65.0,92.0,65.0,70.0,87.0,70.0,43.0
47.5,65.5,70.5,65.0,92.0,65.0,70.0,87.0,70.0,43.0
47.5,65.5,69.0,65.0,92.0,65.5,69.5,87.5,69.5,43.5
46.5,65.5,69.0,65.0,91.0,65.5,68.5,87.5,68.5,43.5
46.0,66.0,69.0,65.0,91.0,65.0,68.5,87.5,68.5,43.5
46.0,66.0,69.0,65.0,90.0,65.0,68.5,87.5,68.0,44.0
45.0,65.5,67.0,65.0,89.0,66.0,67.0,87.5,67.0,43.5
45.0,66.0,67.0,66.0,89.0,66.0,67.0,88.0,66.5,43.5
46.0,67.0,67.5,66.5,89.5,66.0,67.0,89.0,67.5,45.0
46.0,67.0,68.5,67.0,90.0,67.5,68.0,89.0,68.0,45.5
46.5,67.5,69.0,67.0,91.0,67.0,68.5,89.5,68.0,46.0
46.5,67.5,69.0,67.0,91.0,67.0,68.5,89.5,68.5,45.5
46.0,68.0,68.5,68.0,91.0,67.5,68.5,90.0,68.5,46.0
46.0,68.5,68.5,68.0,90.0,68.0,68.0,91.0,68.0,46.0
46.0,67.5,68.0,67.5,90.0,67.5,68.0,90.0,68.0,45.5
46.0,68.0,68.5,67.5,91.0,68.0,68.0,90.0,68.0,46.0
46.0,69.0,68.0,69.0,90.0,69.0,68.0,91.0,68.0,46.5
45.0,69.0,67.0,69.0,90.0,69.5,67.0,91.0,67.0,47.5
46.0,69.5,68.0,69.5,90.0,69.0,68.0,91.5,67.5,48.0
45.0,69.5,67.0,69.0,90.0,69.0,67.0,91.5,66.5,48.0
45.0,69.5,66.5,69.5,89.0,69.5,66.5,91.5,66.0,48.0
45.0,70.0,67.0,70.0,89.5,70.0,67.0,92.0,67.0,48.0
45.0,70.0,67.0,70.0,89.0,70.0,67.0,92.0,67.0,48.0
44.5,70.5,66.5,70.0,89.0,70.5,67.0,92.0,67.0,48.0
43.0,70.5,66.0,70.0,89.0,71.0,66.0,93.0,66.0,49.0
44.0,70.0,66.0,70.0,89.0,70.5,66.5,92.5,66.5,48.0
45.0,70.0,67.0,70.0,89.0,70.0,67.0,92.0,66.5,47.5
45.0,70.0,67.0,70.0,89.0,70.0,67.0,92.0,67.0,48.0
45.5,71.5,67.5,71.5,90.0,71.0,67.0,93.0,67.0,49.5
