u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
51.0,53.0,94.0,62.0,77.0,54.0,74.0,96.0,121.0,98.0,31.0,86.0
51.0,52.0,94.0,61.0,77.0,52.5,74.0,94.0,122.0,97.0,31.5,85.5
51.0,51.0,94.0,60.0,77.0,52.0,74.0,94.0,121.5,96.5,31.0,84.0
51.0,50.0,94.0,59.0,77.0,51.0,74.0,93.0,121.5,94.5,31.5,83.5
51.5,49.5,94.0,59.0,77.0,50.5,74.0,91.5,121.0,94.0,31.0,83.0
51.0,49.0,93.5,58.0,77.0,50.0,74.0,91.0,121.0,93.0,31.0,82.0
51.0,48.0,93.5,57.0,77.0,49.0,74.0,90.0,120.0,92.5,31.0,81.0
51.0,47.0,93.0,56.0,77.0,48.0,73.5,89.5,120.0,92.0,31.0,81.0
50.0,47.0,93.0,56.0,76.0,48.0,73.5,88.5,119.0,91.0,30.0,80.0
50.0,46.0,92.0,55.0,76.0,46.5,73.0,88.0,119.0,90.0,30.0,79.0
49.5,45.5,92.0,54.0,76.0,46.0,72.0,88.0,118.0,89.0,29.0,78.0
49.0,45.0,91.0,54.0,75.0,46.0,72.0,87.0,118.0,89.0,29.0,78.0
48.0,44.0,91.0,53.5,74.5,45.5,72.0,87.0,117.5,88.5,29.0,77.5
48.0,44.0,91.0,53.0,74.0,45.5,71.0,86.5,117.0,88.0,27.5,77.0
48.0,44.0,90.0,53.0,73.5,45.0,70.0,86.0,116.0,87.5,27.0,77.0
47.0,43.0,89.5,52.5,74.0,44.0,69.5,85.5,115.0,87.0,27.0,77.0
46.5,42.5,89.0,52.0,73.0,44.0,69.5,85.5,115.0,87.0,26.5,76.5
46.0,43.0,88.0,52.5,73.0,44.0,69.0,85.0,114.0,86.0,26.0,76.0
46.0,43.0,88.0,52.5,71.0,44.0,68.5,84.5,113.5,86.5,25.5,76.0
45.0,43.0,87.0,52.0,71.0,44.0,68.0,85.0,113.0,86.5,25.0,76.0
45.0,43.0,87.0,52.0,71.0,44.0,68.0,85.0,113.0,86.5,25.0,76.0
44.0,43.0,87.0,52.0,71.0,44.0,67.0,85.0,112.0,86.0,24.0,76.0
44.0,43.0,86.5,52.5,70.0,44.0,67.0,85.0,112.0,86.0,24.0,76.0
44.0,43.0,86.0,52.0,70.0,44.0,67.0,85.0,111.5,86.0,24.0,76.0
43.5,43.5,86.0,52.5,69.0,44.0,66.0,85.5,111.0,87.0,23.0,76.5
43.5,43.5,86.0,53.0,69.0,44.0,65.5,85.5,111.0,87.0,23.0,76.5
43.5,43.5,86.0,53.0,69.0,44.0,65.5,85.5,111.0,87.0,23.0,76.5
43.0,44.0,86.0,53.0,69.0,44.0,65.5,85.5,111.0,87.0,22.0,77.0
43.0,44.0,86.0,53.0,69.0,44.0,65.5,85.5,111.0,87.0,22.0,77.0
43.0,44.0,85.5,53.5,69.0,45.0,65.5,85.5,111.0,87.0,22.0,77.0
42.0,44.0,85.5,53.5,69.0,45.0,65.5,86.0,110.0,87.0,22.0,77.0
42.5,44.5,85.5,53.5,69.0,45.0,65.5,86.0,110.0,87.0,21.5,77.5
43.0,45.0,85.0,54.0,69.0,45.0,65.5,86.0,110.0,88.0,22.0,77.0
42.5,45.0,85.0,54.0,69.0,46.0,66.0,86.5,110.0,88.0,22.5,77.5
43.0,45.0,86.0,54.0,69.0,46.0,66.0,87.0,110.5,88.0,23.0,78.0
43.0,45.0,86.0,54.0,69.5,45.5,66.0,87.0,110.5,88.0,23.0,78.0
44.0,45.0,86.0,54.0,70.0,46.0,66.0,87.0,111.0,88.0,23.5,78.0
44.0,45.0,87.0,54.0,70.0,46.0,66.5,86.5,112.0,88.0,24.0,78.0
44.0,45.0,87.0,54.0,70.0,45.5,67.0,87.0,112.0,88.0,24.0,78.0
44.5,45.0,86.5,54.0,70.0,46.0,67.0,87.0,112.0,88.0,24.5,78.0
45.0,45.0,87.0,54.0,70.5,46.0,68.0,86.0,112.0,88.0,25.0,77.5
45.0,45.0,87.5,53.5,71.0,46.0,68.0,86.0,112.0,88.0,25.5,77.5
46.0,44.0,87.5,53.5,71.0,45.0,68.0,86.0,113.0,88.0,26.0,77.0
46.0,44.0,88.0,53.5,71.0,45.0,68.0,86.0,114.0,87.0,26.0,77.0
46.5,44.0,88.0,53.5,72.0,45.0,69.0,85.5,114.0,87.0,26.5,76.5
46.0,43.0,88.5,53.5,72.0,45.0,69.5,85.5,114.0,87.0,26.0,76.0
47.0,42.0,89.0,52.0,73.0,44.0,70.0,85.0,115.0,86.0,27.0,76.0
47.0,42.0,89.5,51.5,73.0,44.0,71.0,84.0,115.0,86.0,27.0,75.0
47.0,42.0,90.0,51.0,73.0,43.0,70.0,83.0,115.5,85.0,28.0,75.0
47.0,42.0,90.5,50.5,73.0,42.0,70.5,82.5,116.0,85.0,27.5,74.0
48.0,41.0,90.5,50.5,73.0,42.0,70.5,82.5,115.5,83.5,27.5,73.5
48.0,41.0,90.0,49.0,74.0,41.0,70.5,82.5,116.0,83.0,28.0,73.0
48.0,39.0,90.5,48.5,74.0,41.0,70.5,81.5,116.0,82.0,29.0,72.0
48.0,39.0,91.0,48.0,74.0,40.0,70.5,81.5,116.0,82.0,28.0,71.0
48.0,38.5,90.5,47.5,74.0,39.0,70.5,80.5,115.5,80.5,29.0,71.0
48.0,37.0,90.5,46.5,75.0,38.0,70.0,79.0,116.0,80.0,29.0,70.0
48.0,37.0,91.0,46.0,74.0,37.0,70.5,78.5,116.0,80.0,29.0,69.0
48.0,36.0,90.5,44.5,74.0,37.0,70.5,78.5,116.0,79.0,28.5,68.5
48.0,35.0,90.0,44.0,74.0,36.0,70.0,77.0,115.5,78.5,28.0,68.0
47.0,35.0,90.0,44.0,74.0,35.0,70.0,76.0,116.0,77.0,28.0,67.0
47.0,34.0,89.5,42.5,73.0,35.0,70.0,76.0,114.5,76.0,27.5,66.5
47.0,33.0,89.0,42.0,73.0,34.0,69.5,74.5,114.0,75.0,27.0,66.0
46.0,32.0,89.0,42.0,73.0,33.0,69.0,74.0,113.5,74.5,27.0,65.0
45.5,31.5,88.0,41.0,72.0,33.0,69.0,74.0,113.0,74.0,26.0,64.0
45.0,31.0,88.0,40.0,72.0,31.0,68.0,73.0,113.0,73.0,26.0,64.0
44.5,30.0,87.0,39.5,71.0,31.0,67.5,72.5,111.5,72.5,25.0,63.0
43.5,29.0,86.0,39.0,70.5,30.5,67.0,72.0,110.5,72.0,24.0,62.0
43.0,29.0,85.5,38.5,69.0,30.0,66.0,71.0,109.0,71.0,23.0,62.0
42.0,28.0,85.0,38.0,69.0,29.5,65.0,71.0,109.0,71.0,23.0,61.0
42.0,28.0,84.0,38.0,68.0,29.0,64.5,70.5,108.0,70.0,21.0,61.0
41.0,27.0,83.5,37.5,67.0,29.0,64.0,70.0,107.0,70.0,21.0,60.0
40.0,27.0,82.0,37.0,66.5,28.5,63.0,70.0,106.0,70.0,20.0,60.0
38.5,27.0,81.5,37.0,65.0,28.0,62.0,70.0,105.5,69.5,19.0,60.0
38.0,27.0,80.0,37.0,65.0,28.0,61.5,69.5,104.0,70.0,18.0,60.0
37.0,26.5,79.0,37.0,63.0,28.0,60.0,69.5,103.0,69.0,17.5,59.5
36.0,26.0,78.5,37.0,63.0,28.0,60.0,69.0,102.0,69.0,15.5,59.5
35.0,26.0,78.0,37.0,62.0,27.0,59.0,70.0,101.0,69.5,14.5,60.0
33.5,26.5,76.5,37.0,61.0,28.0,58.0,70.0,100.0,69.5,14.0,60.0
